backbone_group_id	arm_id	sequence_group_id	split	candidate_count	candidate_ids
P1_ekg_L_bb000	P1_ekg_L	cdr3fam_3ef0c099f94e06dd	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01
P1_ekg_L_bb000	P1_ekg_L	cdr3fam_bd2aac4b6d7c365c	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02;PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03
P1_ekg_L_bb001	P1_ekg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01;PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02;PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03
P1_ekg_L_bb001	P1_ekg_L	cdr3fam_6fbf6dd84aa9a641	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00
P1_ekg_L_bb002	P1_ekg_L	cdr3fam_437693d92536fdcc	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn02;PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn03
P1_ekg_L_bb002	P1_ekg_L	cdr3fam_96c07e14d0884ef6	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01
P1_ekg_L_bb003	P1_ekg_L	cdr3fam_46fd6a273c482d41	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn00
P1_ekg_L_bb003	P1_ekg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn01;PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn02;PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn03
P1_ekg_L_bb004	P1_ekg_L	cdr3fam_5bf78d2d6f74ea86	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn02
P1_ekg_L_bb004	P1_ekg_L	cdr3fam_adbd7c626350b752	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn01;PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn03
