system_id	candidate_id	md_selection_channel	source_job_id	md_seed	gpu	production_ns	analysis_window_ns	md_role
P1MCPUFP__CPUFP500K_0188__00519	P1MCPUFP__CPUFP500K_0188__00519	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s3047_b91eeed3dc78	917	1	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0188__00519	P1MCPUFP__CPUFP500K_0188__00519	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s3047_b91eeed3dc78	1931	2	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0188__00519	P1MCPUFP__CPUFP500K_0188__00519	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s3047_b91eeed3dc78	3253	3	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0002__00919	P1MCPUFP__CPUFP500K_0002__00919	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0002__00919_8x6b_s917_1072ed9e7ca3	917	4	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0002__00919	P1MCPUFP__CPUFP500K_0002__00919	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0002__00919_8x6b_s917_1072ed9e7ca3	1931	6	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0002__00919	P1MCPUFP__CPUFP500K_0002__00919	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0002__00919_8x6b_s917_1072ed9e7ca3	3253	1	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0086__00466	P1MCPUFP__CPUFP500K_0086__00466	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0086__00466_8x6b_s3253_1ffe3b00d308	917	2	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0086__00466	P1MCPUFP__CPUFP500K_0086__00466	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0086__00466_8x6b_s3253_1ffe3b00d308	1931	3	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0086__00466	P1MCPUFP__CPUFP500K_0086__00466	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0086__00466_8x6b_s3253_1ffe3b00d308	3253	4	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0287__00804	P1MCPUFP__CPUFP500K_0287__00804	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0287__00804_8x6b_s917_cee84144f49d	917	6	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0287__00804	P1MCPUFP__CPUFP500K_0287__00804	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0287__00804_8x6b_s917_cee84144f49d	1931	1	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0287__00804	P1MCPUFP__CPUFP500K_0287__00804	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0287__00804_8x6b_s917_cee84144f49d	3253	2	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0032__00069	P1MCPUFP__CPUFP500K_0032__00069	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00069_8x6b_s1931_d90a9ba0bedf	917	3	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0032__00069	P1MCPUFP__CPUFP500K_0032__00069	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00069_8x6b_s1931_d90a9ba0bedf	1931	4	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0032__00069	P1MCPUFP__CPUFP500K_0032__00069	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00069_8x6b_s1931_d90a9ba0bedf	3253	6	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0089__00735	P1MCPUFP__CPUFP500K_0089__00735	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0089__00735_8x6b_s3047_bfd33960c7ac	917	1	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0089__00735	P1MCPUFP__CPUFP500K_0089__00735	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0089__00735_8x6b_s3047_bfd33960c7ac	1931	2	2	1.0-2.0	DESCRIPTIVE_ONLY
P1MCPUFP__CPUFP500K_0089__00735	P1MCPUFP__CPUFP500K_0089__00735	TOP10_COMPLETION	CANDIDATE_P1MCPUFP__CPUFP500K_0089__00735_8x6b_s3047_bfd33960c7ac	3253	3	2	1.0-2.0	DESCRIPTIVE_ONLY
