top200_rank	candidate_id	sequence_sha256	structure_consistency_label	high_uncertainty	reasons	nbb2_state	nbb2_sequence_match	nbb2_ca_count	nbb2_coverage	nbb2_pdb	nbb2_pdb_sha256	igfold_state	igfold_sequence_match	igfold_ca_count	igfold_coverage	igfold_pdb	igfold_pdb_sha256	nanonet_state	nanonet_sequence_match	nanonet_ca_count	nanonet_coverage	nanonet_pdb	nanonet_pdb_sha256	igfold_vs_nbb2_fr_rmsd_a	igfold_vs_nbb2_cdr1_rmsd_a	igfold_vs_nbb2_cdr2_rmsd_a	igfold_vs_nbb2_cdr3_rmsd_a	igfold_vs_nanonet_fr_rmsd_a	igfold_vs_nanonet_cdr1_rmsd_a	igfold_vs_nanonet_cdr2_rmsd_a	igfold_vs_nanonet_cdr3_rmsd_a	nbb2_vs_nanonet_fr_rmsd_a	nbb2_vs_nanonet_cdr1_rmsd_a	nbb2_vs_nanonet_cdr2_rmsd_a	nbb2_vs_nanonet_cdr3_rmsd_a	max_pairwise_fr_rmsd_a	max_pairwise_cdr3_rmsd_a
1	P1MCPUFP__CPUFP500K_0107__00292	6410ab84743bb4ada0739d19f98f972e84e0b5cf45368613806cc3181fee46af	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0107__00292.pdb	e3d81d796fe0b13161b003b9f82ae1a6552b8e20499cf8e86a3a78a0272497df	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0107__00292.pdb	d44144026e36734cb6dd50a6eb1f3ddd837a88592ad1bde3c5f2c7dbd3782172	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0107__00292_nanonet_backbone_cb.pdb	7e42243576fb2d92aabdba0b4a6ced2335e0e0fd72c758ee4b75c7f9296d4927	0.4062	2.1544	0.7463	1.3793	0.4873	2.6128	0.4866	2.1942	0.6383	1.94	0.5881	2.2919	0.6383	2.2919
2	P1MCPUFP__CPUFP500K_0032__00042	124b53e54df3e863efeb393671f2fa6ce1db460473af96c7816e18afa54eaeb8	PASS	false		PASS	true	123	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0032__00042.pdb	e59f4c8ee7480bb9a41f46968e14a4d420c58d8ccd424bba2f8b69bf1cafc0aa	PASS	true	123	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0032__00042.pdb	f22b1dc5384cdcc9ec7defb0f869e083e2422edd9436e3b6f971f510512528a0	PASS	true	123	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0032__00042_nanonet_backbone_cb.pdb	8f6ec0c02ad35bf93319ea61fb509b05f3df71631f4bedc73c21e52860914bf1	0.4851	2.5045	0.5178	1.9306	0.3061	2.9412	0.902	1.972	0.5878	3.3253	1.0154	1.7821	0.5878	1.972
3	P1MCPUFP__CPUFP500K_0188__00549	eb1b645b0700e655e62c137aafdfa25d74b75e1db39b6f9afd48f76037484d59	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00549.pdb	dae6c84abfe62363870247e38ddf10dc74a78be5f90545c3ff385e61fe51b686	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00549.pdb	b2f2079fe04b79a134004e3e94bd5412d80c9e850857ee2521ff5f87511bf985	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00549_nanonet_backbone_cb.pdb	711e40801abc855423962de776a1e35f50eff8b1b66869641ebc48d85d587e1e	0.6397	2.0455	0.858	2.9938	0.471	2.2728	0.5562	4.4415	0.739	2.887	0.8777	5.3385	0.739	5.3385
4	P1MCPUFP__CPUFP500K_0188__00519	1e27974c88464a10f27ed42dfee12448adbb9d066c3aa6857a1019358455ed52	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00519.pdb	bf2e47f9ebbeb648315612db6c14465e2b13860716a56fe07499db640f4f6f33	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00519.pdb	0ff8d307ee5c421343e76fa1524dea3e6b1a4ca7cc92a5e4e98840836797beb5	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00519_nanonet_backbone_cb.pdb	11c559513ce18e65dd9411db210158fcb645bc199866a074d0fa57ed2a2623eb	0.6334	1.3706	1.0535	2.6158	0.5168	1.6974	0.7233	3.3963	0.851	2.1123	0.9918	4.4142	0.851	4.4142
5	P1MCPUFP__CPUFP500K_0002__00919	70691a4d9e4aa69cb41d88d28ed6d8351aeb8670577bcfc1bfcab539412befbd	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0002__00919.pdb	3fdadd7fe3a0927f3d2e296b950ea7a48f57aa9bd1b6dd43da4da9afd1a94613	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0002__00919.pdb	e77acf1f9f927781a7a3ca9baff017f1a9e0f24cbbbef42797205568268cb1ef	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0002__00919_nanonet_backbone_cb.pdb	1c8069e9346cfe7f86ff285005018ef857924e60e2a6287b37f0963b54bd10a5	0.4425	1.5827	0.9975	2.2546	0.415	2.1397	0.4425	1.8296	0.4905	2.6755	1.0917	2.2945	0.4905	2.2945
6	P1MCPUFP__CPUFP500K_0086__00466	9e91c2bcd67388f3118d962f905465480b13b0bd2acfa8d5d15faa05b8122afa	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0086__00466.pdb	7ba35a095e1769cf251038a83f1cae0102d125e2b097061ecdff81c611b80ea7	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0086__00466.pdb	ca1a9f21515fcea269089e8ca7c605276c0d32ca7b75cbf7fb4e61db084515f7	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0086__00466_nanonet_backbone_cb.pdb	0dbe03b6eaa93fd6df7d500559fde25a0df7fabe6663d3845b344fd113d1ba74	0.4701	1.8794	0.6277	2.1598	0.4943	1.7486	0.5198	5.7134	0.5351	2.3236	0.6207	6.5758	0.5351	6.5758
7	P1MCPUFP__CPUFP500K_0100__00383	f69bd2010a46452727d20704c4361da805ce4a60728526860d0ad0afc606772d	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0100__00383.pdb	2b5954384d17be6a073fe1373497a48fd471eb6620c23dea0f47f6dd0b2fb5a9	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0100__00383.pdb	5c8ebda17be0b77958a6f9561f1239f401dcb9feda2a3dc8a957c5a6c1e627e2	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0100__00383_nanonet_backbone_cb.pdb	b77711989785b6ea1fc606edfd812271d3d17a708cb58e0f04bcd8f8dc898b8e	0.5002	1.393	0.487	1.7633	0.4808	2.3884	0.2336	4.4448	0.5878	2.3581	0.5374	5.1013	0.5878	5.1013
8	P1MCPUFP__CPUFP500K_0287__00804	b7dae83f4ec97556782ec9a29d000d2a1e4dabf1867ad3a6dce44098ac00dfa2	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0287__00804.pdb	3f5687188c1e0225cc525b5bcdfc8cb730e98eac64a53698c65ef8650fcc9181	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0287__00804.pdb	8021ac6e02908af66985f883cb2784e0c9c4f3e39344073c7f85dce80f06b960	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0287__00804_nanonet_backbone_cb.pdb	dccab95c9e9d9ea00e80ad517dfc32fe042857776803094bb1326e6fbcf51370	0.8111	2.7715	1.3833	2.3942	0.437	2.2941	0.5961	4.0892	0.9532	3.5844	1.1113	5.1676	0.9532	5.1676
9	P1MCPUFP__CPUFP500K_0032__00069	951237a70e3da672ee7465656b80a72d6fcbcf60e4d9f7eeb162d980d9dc5368	PASS	false		PASS	true	123	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0032__00069.pdb	c76ee50ba6d3d59d6de118cde17dfa1b19e4d41a469747094e686461eeb58a8e	PASS	true	123	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0032__00069.pdb	a79770a57b20ffc5f7414e3f4044ec2fe0f2f8942d2870fdd4e7c74cf40568ac	PASS	true	123	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0032__00069_nanonet_backbone_cb.pdb	3d5cc72a06d67abd563d61034020b6c87b797e64ac27c45a6b9ba097985d7ffa	0.489	2.9632	0.624	1.394	0.3458	3.0397	0.3524	2.0121	0.5456	3.6341	0.6568	1.5959	0.5456	2.0121
10	P1MCPUFP__CPUFP500K_0089__00735	29d7f3cd57e5a17cd9e3980812fbd53fa79512bc88c8bf3c4d9e266a35b114ba	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0089__00735.pdb	5a025d0e1beac1667df155a1f5a9c87b7d4ec033fdcc577b17e6412c805e4022	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0089__00735.pdb	cc4a70577b7b621a1bab7d76eef9299657efec801ad8b57859de656fb20d75c1	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0089__00735_nanonet_backbone_cb.pdb	4da56e4c7fc01ff9105bde32916f83f77c839eefc6e0a95ce04d7fd75ff41b76	0.4916	1.712	0.8761	4.1655	0.515	1.8325	0.7119	4.4059	0.7447	2.1268	0.5145	6.9207	0.7447	6.9207
11	P1MCPUFP__CPUFP500K_0399__00131	c045549bf5bf69a70af5ba31a8cd659f22fe0902e4424a58815a9e5b940867a8	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0399__00131.pdb	f92361273ad2ed20acdddec8e2de65df7f1a8b70420c0aaa31bfc6d207614fa3	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0399__00131.pdb	3f962b36bc8afdb7f3329719e13c639bf6a6acf577bce557f9e568a1780a67d7	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0399__00131_nanonet_backbone_cb.pdb	c9a01caec31842cd1d83eca8faaf63da856522c6863098ee607745652419d227	0.4441	2.1051	0.5029	2.1682	0.356	2.2901	0.4491	2.3939	0.5353	2.6622	0.7054	2.036	0.5353	2.3939
12	P1MCPUFP__CPUFP500K_0388__00663	30a3252f69eec690ac5610410e5083778094f026020f44b2f6532f7f285a6481	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0388__00663.pdb	b8b89b60f40fd685f438db53719db5b3dc766a5bf768e8139b904b2a03347c3e	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0388__00663.pdb	8d479faf823e411665c5f8836082534613e921bccb0708e0775ce87e1cb9085f	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0388__00663_nanonet_backbone_cb.pdb	3bff68a7b0763922010dedcf89bed47e924a20128021b6dcd64e6b661d59ca18	0.5576	3.081	0.4352	2.6369	0.4909	3.6304	1.0998	5.2092	0.7399	3.8321	1.2763	6.1084	0.7399	6.1084
13	P1MCPUFP__CPUFP500K_0299__00453	0881a81fef15573c7cfb32a8e94e176573688e8446884d7c7b50a64d2d583aff	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0299__00453.pdb	87eb30e3da10a98a27845120b5820be00c4429c4128d3651425c31c00f8beedc	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0299__00453.pdb	1e88ed3c99b0127f6caca7f8395f87fcf14cf719690b5729ed77292e473e81f6	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0299__00453_nanonet_backbone_cb.pdb	4fc06515618164ea4d73b62ebaa32ef8610782aa11c50e86bb351739a5eb6f7c	0.4252	2.1225	0.6215	2.3436	0.4586	2.5878	0.7188	1.934	0.5711	2.9561	0.877	2.1388	0.5711	2.3436
14	P1MCPUFP__CPUFP500K_0090__00532	87f5423c6dfe7107231ce24f8ae6d23ab430e47d07e71bed0e6d70cd5910c651	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0090__00532.pdb	5dfad612207550292223cbaea1dd4db09f0f2b7d12e3588bebf0269a1c3f8896	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0090__00532.pdb	be11f7fcaff231c37b0952b2bb51d4585f519f97fbdd82d73ef7f80fcfea9873	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0090__00532_nanonet_backbone_cb.pdb	f8227974d1511503a923f4b8447cd0a5cd3387438d6d65545e6454f076f7f4d6	0.4251	1.6791	0.8061	3.2489	0.6079	2.4977	0.7014	2.5663	0.6945	2.7679	0.9539	3.313	0.6945	3.313
