stage	elapsed_seconds
parse_fasta	0.015
write_normalized_fasta	0.030
write_official_xlsx	0.026
official_validator	13.912
vhh_screen	124.678
read_screen_summary	0.002
merge_vhh_eval	0.001
load_official_positive_cdrs	0.002
load_local_positive_cdrs	0.001
positive_cdr_novelty	0.655
team_diversity	20.868
load_docking_summary	0.149
build_portfolio	0.002
write_cdr_novelty	0.017
write_team_diversity	0.017
write_portfolio_ranked	0.020
select_portfolio	0.000
write_submission_fasta	0.009
write_reserve_fasta	0.009
write_submission_xlsx	0.013
write_report	0.001
write_details	0.001
