stage	elapsed_seconds
parse_fasta	0.001
write_normalized_fasta	0.001
write_official_xlsx	0.002
official_validator	22.773
vhh_screen	176.168
read_screen_summary	0.001
merge_vhh_eval	0.000
load_official_positive_cdrs	0.001
load_local_positive_cdrs	0.001
positive_cdr_novelty	24.489
team_diversity	1.881
load_docking_summary	0.000
build_portfolio	0.000
write_cdr_novelty	0.001
write_team_diversity	0.001
write_portfolio_ranked	0.001
select_portfolio	0.000
write_submission_fasta	0.000
write_reserve_fasta	0.000
write_submission_xlsx	0.001
write_report	0.000
write_details	0.000
