display_id,length,imgt_cdr1_len,imgt_cdr2_len,imgt_cdr3_len,final_verdict,L1_numbering_integrity,L2_vhh_features,L3_developability,L4_structure_stability,fr2_hallmark_score,single_domain_suitability,abnativ_vhh_score,abnativ_fr_vhh_score,sapiens_mean_self_probability,sapiens_num_suggested_mutations,mw,pI,charge_pH7_4,gravy,eval_instability_index,nglyc_motif_count,cys_count,deamidation_NG_NS_NT_count,isomerization_DG_DS_DD_DT_count,hydrophobic_5_count,tnp_total_cdr_length,tnp_cdr3_length,tnp_cdr3_compactness,tnp_PSH_all11,tnp_PPC_all11,tnp_PNC_all11,tnp_PNC_flag_all11,novelty_max_CDR_identity_to_positive,novelty_pass_similarity_filter,portfolio_official_validator_pass,portfolio_hard_fail,portfolio_recommendation,diversity_intra_team_cluster_id,diversity_intra_team_cluster_size,diversity_max_team_identity,diversity_diversity_score
151H7,127,10,7,19,REVIEW,PASS,PASS,WARN,NOT_RUN,0.75,good,0.7570888536432143,0.8734908298081216,0.7095873019086035,15,13458.904,6.749,-0.52,-0.1701,39.172,0,4,1,4,0,36,19,1.4501160259753771,125.1016,0.0,0.1614,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0001,3,1.000000,70.00
151H8,127,10,7,19,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.25,poor,0.7523322598974982,0.8697067790385921,0.734937970618182,12,13377.867,5.209,-1.447,-0.0614,38.504,0,4,1,4,0,36,19,1.446284281949687,108.8744,0.0,0.1007,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0001,3,1.000000,70.00
20H5,121,8,7,15,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.75,poor,0.767520738608226,0.8720608355266022,0.7359579639694045,14,13176.474,4.995,-5.336,-0.3636,37.136,0,4,2,4,0,30,15,1.0980582308217168,94.8142,0.0779,2.9575,red,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0002,5,0.955556,55.00
30H2,121,8,7,14,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.5,poor,,,0.7524396965418719,17,12726.997,5.239,-1.444,-0.224,38.591,0,4,2,2,0,29,14,1.0188305719503972,104.1461,0.1613,0.1485,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0003,2,0.928571,85.00
39H2,120,8,7,14,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.5,poor,0.7990440813232863,0.8965621728244336,0.7799669867381454,11,12896.327,5.748,-1.409,-0.2042,35.712,0,4,2,3,0,29,14,1.0131779567113959,109.9678,0.2784,0.093,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0002,5,1.000000,55.00
39H4,120,8,7,14,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.5,poor,0.7937899946961265,0.8698732392537791,0.7586639010968308,14,12907.306,5.569,-2.375,-0.2275,35.902,0,4,2,3,0,29,14,1.0343608990015978,95.9188,0.1674,0.537,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0002,5,1.000000,55.00
PVRIG-151_HR151,127,10,7,19,REVIEW,PASS,PASS,WARN,NOT_RUN,0.75,good,0.7999012950289495,0.9131250845997512,0.6894917876063663,17,13445.819,5.708,-1.519,-0.2512,37.517,0,4,0,4,0,36,19,1.4206459180422137,113.5861,0.0,0.1326,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0001,3,1.000000,70.00
PVRIG-20,121,8,7,15,REJECT_NOT_VHH_LIKE,PASS,FAIL,SKIPPED,SKIPPED,0.75,poor,0.8013687907648314,0.9204805156848539,0.6979764428159053,17,13220.421,5.178,-4.449,-0.4959,35.029,0,4,2,5,0,30,15,1.0688304264111228,98.5919,0.1131,3.0326,red,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0002,5,0.955556,55.00
PVRIG-30,121,8,7,14,DEPRIORITIZE_DEVELOPABILITY,PASS,WARN,FAIL,SKIPPED,1.0,good,,,0.6682929970123921,25,12946.174,6.095,-1.489,-0.4521,36.402,0,4,2,2,1,29,14,1.0589192251561492,93.6091,0.3038,0.043,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0003,2,0.928571,85.00
PVRIG-38,123,8,8,16,REVIEW,PASS,PASS,WARN,NOT_RUN,1.0,good,0.8584878936598215,0.9759400641364943,0.7266780184884745,15,13177.482,8.62,1.484,-0.3707,37.349,0,2,2,2,0,32,16,1.3667754804986405,113.8744,0.0,0.0,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0004,1,0.544715,100.00
PVRIG-39,120,8,7,14,REVIEW,PASS,PASS,WARN,NOT_RUN,1.0,good,0.8321233240457935,0.9454085676958588,0.7034750329951446,19,13065.359,6.902,-0.486,-0.4758,36.09,0,4,2,3,0,29,14,1.011894324449783,83.8441,0.2508,0.0605,green,1.000000,FAIL,FAIL,True,REJECT_HARD_GATE,C0002,5,1.000000,55.00
