cluster_id,representative_record_id,member_count,sources_present,max_pairwise_identity,mean_score_v1_1,selected_for_top_200,selection_reason,diversity_notes
C0001,PLDNANO_VHH_00001,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0002,PLDNANO_VHH_00002,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0003,PLDNANO_VHH_00003,1,PLAbDab-nano:GenBank,1.000,0.930,no,not_selected,greedy_sequence_identity_threshold_0.90
C0004,PLDNANO_VHH_00004,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0005,PLDNANO_VHH_00005,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0006,PLDNANO_VHH_00006,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0007,PLDNANO_VHH_00007,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0008,PLDNANO_VHH_00009,2,PLAbDab-nano:GenBank,0.968,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0009,PLDNANO_VHH_00010,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0010,PLDNANO_VHH_00011,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0011,PLDNANO_VHH_00012,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0012,PLDNANO_VHH_00013,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0013,PLDNANO_VHH_00014,1,PLAbDab-nano:GenBank,1.000,0.940,no,not_selected,greedy_sequence_identity_threshold_0.90
C0014,PLDNANO_VHH_00015,1,PLAbDab-nano:GenBank,1.000,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0015,PLDNANO_VHH_00016,1,PLAbDab-nano:GenBank,1.000,0.960,no,not_selected,greedy_sequence_identity_threshold_0.90
C0016,PLDNANO_VHH_00017,1,PLAbDab-nano:GenBank,1.000,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0017,PLDNANO_VHH_00018,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0018,PLDNANO_VHH_00019,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0019,PLDNANO_VHH_00020,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0020,PLDNANO_VHH_00021,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0021,PLDNANO_VHH_00022,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
