candidate_id	mechanism_rank	top10_rank_prior	static_pose_count	prodigy_status	foldx_status	rosetta_status	static_median_rosetta_dSASA_int	static_median_rosetta_delta_unsatHbonds	static_median_rosetta_hbonds_int	static_median_rosetta_sc_value	static_median_rosetta_dG_separated	static_median_prodigy_predicted_dg_kcal_mol	affinity_consensus_status	affinity_consensus_rank	rank_use	reason	claim_boundary
P1MCPUFP__CPUFP500K_0288__00659	1		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1547.27	16.5	2.5	0.6155	75.8785	-9.781	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00519	2		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1552.685	12	7.5	0.652	13.7145	-9.8355	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0100__00092	3		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1785.5705	21.5	8	0.667	47.94	-11.9895	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0090__00532	4		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1446.8575	16	3.5	0.717	24.645	-10.281	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00282	5		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1767.963	16.5	2.5	0.689	87.3975	-10.7335	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0100__00188	6		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1512.694	17	3.5	0.5925	32.4595	-10.137	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0002__00919	7		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1482.218	23	2	0.6465	40.539	-11.626	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0287__00804	8		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1402.1805	18.5	2	0.641	50.2025	-10.748	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0089__00735	9		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1540.2055	24.5	2	0.515	25.731	-9.9795	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0299__00453	10		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1618.2035	17	1.5	0.578	17.1435	-10.3775	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0299__00780	11		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1613.523	16.5	2	0.658	47.1445	-12.161	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0189__00858	12		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1653.7665	22	4.5	0.652	70.708	-10.911	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0380__00771	13		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1485.639	27	3.5	0.6895	34.289	-10.8065	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0404__00029	14		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1778.6555	22.5	5.5	0.5635	27.1225	-10.4095	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00549	15		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1811.679	31.5	5	0.621	33.705	-12.3665	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0100__00383	16		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1515.847	20	4.5	0.596	54.3115	-11.07	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0399__00131	17		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1449.769	23	3	0.567	11.486	-9.8275	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00481	18		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1695.5225	15.5	4	0.5745	60.3265	-10.3495	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0404__00512	19		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1411.0945	11.5	4	0.664	26.5685	-10.041	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
