final_rank	top10_rank	candidate_id	parent_id	mechanism_rank_semantics	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_component_evidence_completeness	tnp_L	tnp_L3	tnp_C	tnp_PSH	tnp_PPC	tnp_PNC	tnp_status	tnp_total_cdr_length	tnp_cdr3_length	tnp_cdr3_compactness	tnp_psh	tnp_ppc	tnp_pnc	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	minimum_c_terminal_target_distance_a	c_terminal_contact_pose_count	exposed_noncontact_acid_clipping_rows	exposed_noncontact_isomerization_rows	structural_ptm_review_status	format_review_status	additional_review_flags	claim_boundary
1	1	P1MCPUFP__CPUFP500K_0288__00659	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4601611100414664	105.6734	0.0486	0.3299	14.000000	895.753516	3.000000	3.000000	35.019465	0	0	27	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
2	2	P1MCPUFP__CPUFP500K_0188__00519	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4599281568144666	112.6664	0.0396	0.7576	11.000000	556.015969	3.000000	4.000000	28.715816	0	0	24	REVIEW	C_TERMINAL_CLEAR__GENERIC_HFC_PILOT_INCONCLUSIVE	REVIEW;GENERIC_HFC_LOW_CONFIDENCE	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
3	3	P1MCPUFP__CPUFP500K_0100__00092	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	purity_proxy_lt90	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.4543855582401592	149.2947	0.0	0.0	13.000000	687.284560	3.000000	2.000000	34.747932	0	0	24	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	D2_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
4	4	P1MCPUFP__CPUFP500K_0090__00532	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4463884438767638	118.6889	0.0128	0.1632	8.500000	511.124391	3.000000	2.000000	34.576289	0	0	24	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
5	5	P1MCPUFP__CPUFP500K_0188__00282	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4554928180494284	101.8208	0.0874	1.1244	8.000000	466.999528	4.000000	2.000000	32.853071	0	0	28	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
6	6	P1MCPUFP__CPUFP500K_0100__00188	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4341465402826985	108.1498	0.0	0.0	10.000000	570.680443	3.000000	2.000000	30.323480	0	0	35	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
7	7	P1MCPUFP__CPUFP500K_0002__00919	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.451944675727739	125.6645	0.0043	0.0489	8.000000	405.090224	3.000000	2.000000	28.826784	0	0	29	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
8		P1MCPUFP__CPUFP500K_0287__00804	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.4792239954690083	139.4277	0.0528	0.0673	15.500000	968.221064	3.000000	2.500000	25.983842	0	0	26	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
9		P1MCPUFP__CPUFP500K_0089__00735	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4632309463162412	109.6488	0.0617	0.0803	17.000000	909.573844	3.000000	2.000000	31.480961	0	0	25	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
10		P1MCPUFP__CPUFP500K_0299__00453	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4562460657289928	81.679	0.1226	0.0652	6.000000	241.731407	3.000000	2.000000	29.778981	0	0	27	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
