competition_submission_priority	portfolio_status	candidate_id	mechanism_rank	previous_top10_rank	parent_id	cdr3_diversity_cluster	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_PSH	tnp_PPC	tnp_PNC	glycan_accessibility_status	membrane_orientation_status	affinity_consensus_rank	affinity_consensus_status	unconstrained_independent_complex_decision	selection_reason	required_pre_submission_check	claim_boundary
1	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0188__00519	2		case02_pos_10_151H7	CDR3CL_0002	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	D1 core; mechanism rank 2.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
2	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0100__00188	6		case02_pos_01_PVRIG-151_HR151	CDR3CL_0029	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	D1 core; independent HR-151-derived CDR3 cluster.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
3	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0002__00919	7		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	D1 core; distinct HR-151-derived CDR3 cluster.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
4	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0288__00659	1		case02_pos_10_151H7	CDR3CL_0088	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Mechanism-leading D2; held below D1 cores for manufacturing review.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
5	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0100__00092	3		case02_pos_01_PVRIG-151_HR151	CDR3CL_0005	D2_REVIEW	purity_proxy_lt90	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Mechanism-leading D2; HR-151-derived portfolio coverage.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
6	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0090__00532	4		case02_pos_10_151H7	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Mechanism-leading D2; distinct CDR3 cluster.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
7	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0188__00282	5		case02_pos_10_151H7	CDR3CL_0002	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Mechanism-leading D2; secondary mechanism backup.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
8	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0032__00118	28		case02_pos_04_PVRIG-38	CDR3CL_0003	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	D1 PVRIG-38 parent diversity anchor.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
9	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0029__00647	35		case02_pos_04_PVRIG-38	CDR3CL_0006	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	D1 PVRIG-38 second CDR3 cluster; parent/CDR3 diversity backup.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
10	PROVISIONAL_TOP10	P1MCPUFP__CPUFP500K_0091__00550	21		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	amber	red	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Only D3 high-risk 151H8-format sentry; not a primary manufacturing bet.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
