candidate_id	final_rank	top10_rank	representative_pose_count	resolved_target_sequons	minimum_candidate_to_sequon_asn_anchor_distance_a	pose_count_anchor_distance_lt10a	pose_count_anchor_distance_lt20a	glycan_accessibility_status	membrane_orientation_status	submission_rank_use	claim_boundary
P1MCPUFP__CPUFP500K_0288__00659	1		8	NTT@129	15.573192	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00519	2		8	NTT@129	18.677937	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0100__00092	3		8	NTT@129	15.085659	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0090__00532	4		8	NTT@129	15.709349	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00282	5		8	NTT@129	15.774831	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0100__00188	6		8	NTT@129	14.282945	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0002__00919	7		8	NTT@129	16.103711	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0287__00804	8		8	NTT@129	15.57007	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0089__00735	9		8	NTT@129	15.4657	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0299__00453	10		8	NTT@129	15.788871	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
