candidate_id	mechanism_rank	manufacturability_proxy_tier	tnp_L	tnp_L3	tnp_C	tnp_PSH	tnp_PPC	tnp_PNC	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	pI	net_charge_pH7	GRAVY	hydrophobic_5_count	polyreactivity_model_status	self_association_model_status	rank_use	claim_boundary
P1MCPUFP__CPUFP500K_0288__00659	1	D2_REVIEW	green	green	green	green	green	green	14.000000	895.753516	3.000000	3.000000	6.105	-1.432	-0.289	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00519	2	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	11.000000	556.015969	3.000000	4.000000	5.019	-4.425	-0.3087	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0100__00092	3	D2_REVIEW	green	green	green	amber	green	green	13.000000	687.284560	3.000000	2.000000	5.716	-1.462	-0.1252	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0090__00532	4	D2_REVIEW	green	green	green	green	green	green	8.500000	511.124391	3.000000	2.000000	6.307	-1.391	-0.1583	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00282	5	D2_REVIEW	green	green	green	green	green	green	8.000000	466.999528	4.000000	2.000000	6.105	-1.432	-0.2874	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0100__00188	6	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	10.000000	570.680443	3.000000	2.000000	5.716	-1.465	-0.2591	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0002__00919	7	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	8.000000	405.090224	3.000000	2.000000	5.161	-3.428	-0.1732	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0287__00804	8	D2_REVIEW	green	green	green	amber	green	green	15.500000	968.221064	3.000000	2.500000	5.586	-2.429	-0.263	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0089__00735	9	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	17.000000	909.573844	3.000000	2.000000	5.483	-3.392	-0.2244	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0299__00453	10	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	6.000000	241.731407	3.000000	2.000000	5.233	-2.466	-0.2693	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
