submission_id	PVRIG_CAND_001	PVRIG_CAND_002	PVRIG_CAND_003	PVRIG_CAND_004	PVRIG_CAND_005	PVRIG_CAND_006	PVRIG_CAND_007	PVRIG_CAND_008	PVRIG_CAND_009	PVRIG_CAND_010	PVRIG_CAND_011	PVRIG_CAND_012	PVRIG_CAND_013	PVRIG_CAND_014	PVRIG_CAND_015	PVRIG_CAND_016	PVRIG_CAND_017	PVRIG_CAND_018	PVRIG_CAND_019	PVRIG_CAND_020	PVRIG_CAND_021	PVRIG_CAND_022	PVRIG_CAND_023	PVRIG_CAND_024	PVRIG_CAND_025	PVRIG_CAND_026	PVRIG_CAND_027	PVRIG_CAND_028	PVRIG_CAND_029	PVRIG_CAND_030	PVRIG_CAND_031	PVRIG_CAND_032	PVRIG_CAND_033	PVRIG_CAND_034	PVRIG_CAND_035	PVRIG_CAND_036	PVRIG_CAND_037	PVRIG_CAND_038	PVRIG_CAND_039	PVRIG_CAND_040	PVRIG_CAND_041	PVRIG_CAND_042	PVRIG_CAND_043	PVRIG_CAND_044	PVRIG_CAND_045	PVRIG_CAND_046	PVRIG_CAND_047	PVRIG_CAND_048	PVRIG_CAND_049	PVRIG_CAND_050
PVRIG_CAND_001	1.000000	0.421053	0.315789	0.315789	0.315789	0.263158	0.473684	0.263158	0.263158	0.315789	0.315789	0.421053	0.315789	0.421053	0.315789	0.157895	0.315789	0.470588	0.421053	0.235294	0.315789	0.421053	0.421053	0.470588	0.368421	0.263158	0.157895	0.315789	0.315789	0.263158	0.294118	0.421053	0.421053	0.368421	0.411765	0.411765	0.529412	0.352941	0.470588	0.352941	0.470588	0.470588	0.400000	0.473684	0.210526	0.421053	0.473684	0.368421	0.368421	0.470588
PVRIG_CAND_002	0.421053	1.000000	0.368421	0.263158	0.368421	0.368421	0.368421	0.368421	0.263158	0.368421	0.263158	0.526316	0.315789	0.315789	0.526316	0.315789	0.263158	0.368421	0.368421	0.157895	0.368421	0.473684	0.368421	0.263158	0.473684	0.526316	0.157895	0.315789	0.368421	0.263158	0.368421	0.315789	0.368421	0.736842	0.210526	0.421053	0.315789	0.421053	0.473684	0.368421	0.263158	0.315789	0.315789	0.263158	0.105263	0.210526	0.315789	0.263158	0.421053	0.421053
PVRIG_CAND_003	0.315789	0.368421	1.000000	0.263158	0.315789	0.368421	0.315789	0.368421	0.315789	0.421053	0.210526	0.631579	0.315789	0.263158	0.263158	0.315789	0.526316	0.210526	0.736842	0.210526	0.315789	0.263158	0.263158	0.210526	0.368421	0.368421	0.263158	0.789474	0.736842	0.210526	0.263158	0.263158	0.315789	0.315789	0.263158	0.315789	0.210526	0.315789	0.315789	0.263158	0.210526	0.263158	0.272727	0.210526	0.263158	0.157895	0.263158	0.210526	0.789474	0.263158
PVRIG_CAND_004	0.315789	0.263158	0.263158	1.000000	0.368421	0.526316	0.526316	0.368421	0.421053	0.368421	0.526316	0.263158	0.421053	0.473684	0.473684	0.368421	0.210526	0.263158	0.368421	0.263158	0.368421	0.473684	0.368421	0.210526	0.473684	0.368421	0.631579	0.263158	0.263158	0.736842	0.263158	0.263158	0.578947	0.315789	0.263158	0.157895	0.315789	0.157895	0.263158	0.210526	0.421053	0.263158	0.315789	0.578947	0.210526	0.210526	0.263158	0.210526	0.263158	0.210526
PVRIG_CAND_005	0.315789	0.368421	0.315789	0.368421	1.000000	0.368421	0.315789	0.578947	0.473684	0.368421	0.526316	0.421053	0.315789	0.631579	0.526316	0.473684	0.157895	0.421053	0.315789	0.157895	0.684211	0.421053	0.578947	0.263158	0.473684	0.578947	0.473684	0.210526	0.315789	0.473684	0.263158	0.368421	0.473684	0.473684	0.315789	0.368421	0.263158	0.315789	0.210526	0.421053	0.263158	0.210526	0.157895	0.473684	0.368421	0.368421	0.421053	0.421053	0.263158	0.368421
PVRIG_CAND_006	0.263158	0.368421	0.368421	0.526316	0.368421	1.000000	0.578947	0.578947	0.421053	0.578947	0.526316	0.368421	0.684211	0.315789	0.368421	0.578947	0.315789	0.263158	0.368421	0.157895	0.473684	0.263158	0.210526	0.263158	0.421053	0.526316	0.578947	0.263158	0.368421	0.526316	0.315789	0.263158	0.421053	0.421053	0.210526	0.157895	0.263158	0.250000	0.210526	0.263158	0.263158	0.315789	0.210526	0.368421	0.263158	0.210526	0.315789	0.263158	0.368421	0.210526
PVRIG_CAND_007	0.473684	0.368421	0.315789	0.526316	0.315789	0.578947	1.000000	0.421053	0.263158	0.526316	0.526316	0.368421	0.578947	0.263158	0.421053	0.526316	0.263158	0.368421	0.421053	0.157895	0.315789	0.263158	0.210526	0.368421	0.421053	0.368421	0.473684	0.315789	0.263158	0.473684	0.263158	0.368421	0.368421	0.421053	0.263158	0.210526	0.368421	0.210526	0.315789	0.263158	0.315789	0.368421	0.272727	0.368421	0.210526	0.210526	0.315789	0.263158	0.368421	0.300000
PVRIG_CAND_008	0.263158	0.368421	0.368421	0.368421	0.578947	0.578947	0.421053	1.000000	0.473684	0.421053	0.736842	0.368421	0.473684	0.421053	0.526316	0.578947	0.263158	0.368421	0.421053	0.105263	0.789474	0.315789	0.315789	0.210526	0.473684	0.631579	0.473684	0.315789	0.421053	0.473684	0.315789	0.368421	0.421053	0.421053	0.210526	0.315789	0.263158	0.315789	0.315789	0.315789	0.315789	0.263158	0.157895	0.473684	0.210526	0.263158	0.368421	0.315789	0.368421	0.263158
PVRIG_CAND_009	0.263158	0.263158	0.315789	0.421053	0.473684	0.421053	0.263158	0.473684	1.000000	0.315789	0.578947	0.368421	0.368421	0.473684	0.473684	0.315789	0.210526	0.368421	0.315789	0.210526	0.473684	0.526316	0.368421	0.210526	0.578947	0.578947	0.473684	0.210526	0.368421	0.473684	0.263158	0.315789	0.684211	0.368421	0.263158	0.263158	0.263158	0.263158	0.315789	0.263158	0.368421	0.157895	0.210526	0.578947	0.263158	0.315789	0.368421	0.315789	0.263158	0.263158
PVRIG_CAND_010	0.315789	0.368421	0.421053	0.368421	0.368421	0.578947	0.526316	0.421053	0.315789	1.000000	0.368421	0.368421	0.684211	0.315789	0.263158	0.578947	0.368421	0.263158	0.421053	0.157895	0.421053	0.315789	0.263158	0.315789	0.315789	0.421053	0.368421	0.315789	0.421053	0.315789	0.263158	0.157895	0.368421	0.421053	0.210526	0.315789	0.263158	0.315789	0.210526	0.210526	0.368421	0.210526	0.157895	0.315789	0.315789	0.263158	0.315789	0.315789	0.473684	0.250000
