submission_id	PVRIG_CAND_001	PVRIG_CAND_002	PVRIG_CAND_003	PVRIG_CAND_004	PVRIG_CAND_005	PVRIG_CAND_006	PVRIG_CAND_007	PVRIG_CAND_008	PVRIG_CAND_009	PVRIG_CAND_010	PVRIG_CAND_011	PVRIG_CAND_012	PVRIG_CAND_013	PVRIG_CAND_014	PVRIG_CAND_015	PVRIG_CAND_016	PVRIG_CAND_017	PVRIG_CAND_018	PVRIG_CAND_019	PVRIG_CAND_020	PVRIG_CAND_021	PVRIG_CAND_022	PVRIG_CAND_023	PVRIG_CAND_024	PVRIG_CAND_025	PVRIG_CAND_026	PVRIG_CAND_027	PVRIG_CAND_028	PVRIG_CAND_029	PVRIG_CAND_030	PVRIG_CAND_031	PVRIG_CAND_032	PVRIG_CAND_033	PVRIG_CAND_034	PVRIG_CAND_035	PVRIG_CAND_036	PVRIG_CAND_037	PVRIG_CAND_038	PVRIG_CAND_039	PVRIG_CAND_040	PVRIG_CAND_041	PVRIG_CAND_042	PVRIG_CAND_043	PVRIG_CAND_044	PVRIG_CAND_045	PVRIG_CAND_046	PVRIG_CAND_047	PVRIG_CAND_048	PVRIG_CAND_049	PVRIG_CAND_050
PVRIG_CAND_001	1.000000	0.200000	0.200000	0.500000	0.200000	0.200000	0.400000	0.400000	0.200000	0.300000	0.300000	0.400000	0.400000	0.200000	0.300000	0.400000	0.200000	0.875000	0.300000	0.125000	0.300000	0.200000	0.300000	0.750000	0.200000	0.300000	0.300000	0.300000	0.200000	0.500000	0.750000	0.200000	0.300000	0.200000	0.750000	0.750000	0.875000	0.625000	0.625000	0.625000	0.875000	0.125000	0.125000	0.200000	0.200000	0.100000	0.100000	0.200000	0.300000	0.750000
PVRIG_CAND_002	0.200000	1.000000	0.400000	0.600000	0.500000	0.800000	0.700000	0.400000	0.500000	0.700000	0.400000	0.400000	0.700000	0.400000	0.700000	0.700000	0.600000	0.300000	0.400000	0.400000	0.400000	0.400000	0.400000	0.300000	0.600000	0.500000	0.600000	0.300000	0.600000	0.600000	0.300000	0.300000	0.400000	0.800000	0.300000	0.300000	0.200000	0.300000	0.300000	0.200000	0.300000	0.400000	0.400000	0.400000	0.200000	0.300000	0.300000	0.100000	0.500000	0.300000
PVRIG_CAND_003	0.200000	0.400000	1.000000	0.400000	0.300000	0.500000	0.500000	0.300000	0.400000	0.500000	0.300000	0.600000	0.400000	0.400000	0.500000	0.500000	0.600000	0.200000	0.600000	0.500000	0.300000	0.600000	0.500000	0.200000	0.500000	0.400000	0.400000	0.500000	0.500000	0.500000	0.200000	0.400000	0.600000	0.400000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.600000	0.300000	0.600000	0.100000	0.100000	0.100000	0.100000	0.500000	0.200000
PVRIG_CAND_004	0.500000	0.600000	0.400000	1.000000	0.600000	0.600000	0.800000	0.700000	0.300000	0.700000	0.600000	0.600000	0.800000	0.300000	0.600000	0.800000	0.500000	0.400000	0.500000	0.400000	0.600000	0.400000	0.400000	0.400000	0.500000	0.500000	0.800000	0.300000	0.500000	0.900000	0.400000	0.400000	0.500000	0.600000	0.400000	0.400000	0.500000	0.500000	0.400000	0.400000	0.400000	0.400000	0.300000	0.400000	0.300000	0.200000	0.200000	0.200000	0.500000	0.400000
PVRIG_CAND_005	0.200000	0.500000	0.300000	0.600000	1.000000	0.400000	0.500000	0.500000	0.300000	0.500000	0.500000	0.400000	0.500000	0.400000	0.400000	0.500000	0.400000	0.100000	0.300000	0.300000	0.500000	0.400000	0.400000	0.100000	0.600000	0.500000	0.600000	0.300000	0.400000	0.500000	0.100000	0.400000	0.300000	0.500000	0.100000	0.100000	0.200000	0.200000	0.100000	0.200000	0.100000	0.500000	0.200000	0.400000	0.200000	0.200000	0.200000	0.100000	0.400000	0.100000
PVRIG_CAND_006	0.200000	0.800000	0.500000	0.600000	0.400000	1.000000	0.800000	0.400000	0.400000	0.700000	0.400000	0.400000	0.700000	0.300000	0.700000	0.800000	0.600000	0.300000	0.400000	0.400000	0.400000	0.400000	0.400000	0.300000	0.600000	0.500000	0.600000	0.300000	0.500000	0.700000	0.300000	0.300000	0.400000	0.600000	0.300000	0.300000	0.200000	0.300000	0.300000	0.200000	0.300000	0.400000	0.400000	0.400000	0.300000	0.400000	0.400000	0.200000	0.400000	0.300000
PVRIG_CAND_007	0.400000	0.700000	0.500000	0.800000	0.500000	0.800000	1.000000	0.600000	0.400000	0.800000	0.600000	0.500000	0.900000	0.300000	0.700000	1.000000	0.600000	0.300000	0.400000	0.400000	0.600000	0.400000	0.400000	0.300000	0.600000	0.500000	0.700000	0.300000	0.500000	0.900000	0.300000	0.400000	0.400000	0.600000	0.300000	0.300000	0.400000	0.300000	0.300000	0.400000	0.300000	0.400000	0.300000	0.400000	0.200000	0.300000	0.300000	0.100000	0.400000	0.300000
PVRIG_CAND_008	0.400000	0.400000	0.300000	0.700000	0.500000	0.400000	0.600000	1.000000	0.200000	0.500000	0.900000	0.600000	0.600000	0.200000	0.400000	0.600000	0.300000	0.300000	0.500000	0.300000	0.800000	0.300000	0.300000	0.300000	0.400000	0.400000	0.500000	0.300000	0.300000	0.700000	0.300000	0.400000	0.400000	0.400000	0.300000	0.300000	0.400000	0.300000	0.300000	0.300000	0.300000	0.400000	0.200000	0.300000	0.300000	0.200000	0.200000	0.200000	0.400000	0.300000
PVRIG_CAND_009	0.200000	0.500000	0.400000	0.300000	0.300000	0.400000	0.400000	0.200000	1.000000	0.400000	0.200000	0.400000	0.400000	0.800000	0.400000	0.400000	0.500000	0.200000	0.500000	0.200000	0.200000	0.600000	0.500000	0.200000	0.400000	0.300000	0.300000	0.500000	0.500000	0.300000	0.200000	0.100000	0.600000	0.400000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.400000	0.300000	0.600000	0.200000	0.300000	0.400000	0.200000	0.600000	0.200000
PVRIG_CAND_010	0.300000	0.700000	0.500000	0.700000	0.500000	0.700000	0.800000	0.500000	0.400000	1.000000	0.500000	0.600000	0.900000	0.300000	0.800000	0.800000	0.500000	0.200000	0.500000	0.500000	0.500000	0.500000	0.500000	0.200000	0.500000	0.400000	0.600000	0.400000	0.500000	0.700000	0.200000	0.400000	0.500000	0.600000	0.200000	0.200000	0.300000	0.200000	0.200000	0.400000	0.200000	0.500000	0.400000	0.500000	0.200000	0.300000	0.300000	0.333333	0.400000	0.200000
PVRIG_CAND_011	0.300000	0.400000	0.300000	0.600000	0.500000	0.400000	0.600000	0.900000	0.200000	0.500000	1.000000	0.500000	0.600000	0.200000	0.400000	0.600000	0.300000	0.200000	0.400000	0.300000	0.800000	0.300000	0.300000	0.200000	0.400000	0.300000	0.500000	0.300000	0.400000	0.600000	0.200000	0.400000	0.300000	0.500000	0.200000	0.200000	0.300000	0.200000	0.200000	0.300000	0.200000	0.400000	0.200000	0.300000	0.200000	0.200000	0.200000	0.100000	0.300000	0.200000
