stage	elapsed_seconds
parse_fasta	0.019
write_normalized_fasta	0.025
write_official_xlsx	0.021
official_validator	90.513
vhh_screen	1434.552
read_screen_summary	0.001
merge_vhh_eval	0.000
load_official_positive_cdrs	0.001
load_local_positive_cdrs	0.001
positive_cdr_novelty	11.444
team_diversity	59.097
load_docking_summary	0.000
build_portfolio	0.002
write_cdr_novelty	0.060
write_team_diversity	0.029
write_portfolio_ranked	0.022
select_portfolio	0.000
write_submission_fasta	0.001
write_reserve_fasta	0.000
write_submission_xlsx	0.002
write_report	0.001
write_details	0.001
