candidate_id	final_rank	top10_rank	pdb_path	vhh_chain	chain_identity_proxy	mapped_sequence_fraction	free_vhh_sasa_a2	bound_vhh_sasa_a2	binding_buried_sasa_a2	largest_hydrophobic_patch_residues	largest_hydrophobic_patch_free_sasa_a2	largest_positive_patch_residues	largest_positive_patch_free_sasa_a2	largest_negative_patch_residues	largest_negative_patch_free_sasa_a2	c_terminal_target_min_distance_a	c_terminal_target_contact_4p5a
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s1931.pdb	A	1.000000	1.000000	6012.923390	5277.471251	735.452139	19	1045.579107	5	365.870865	1	142.299654	31.490279	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s3047.pdb	A	1.000000	1.000000	6169.980801	5425.311774	744.669027	12	623.603796	5	367.123313	2	159.269448	34.663013	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s42.pdb	A	1.000000	1.000000	6011.880863	5230.735160	781.145704	9	474.416975	5	348.945011	2	167.273242	35.704060	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s917.pdb	A	1.000000	1.000000	6125.092783	5373.968600	751.124183	13	640.186400	5	364.491936	2	163.891778	33.685681	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s1931.pdb	A	1.000000	1.000000	6128.814209	5309.256231	819.557978	9	471.459291	5	371.925531	2	161.652116	35.197328	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s3047.pdb	A	1.000000	1.000000	6126.961319	5410.583171	716.378148	12	636.995002	5	363.936858	2	168.832059	33.638296	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s42.pdb	A	1.000000	1.000000	6222.685228	5479.566975	743.118253	21	1207.023020	5	366.119574	2	176.429016	32.659493	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s917.pdb	A	1.000000	1.000000	6067.512751	5373.538579	693.974173	16	941.007342	5	355.912707	2	169.619027	34.040948	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_final50_fusion_developability_v1_20260726/final50_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__8x6b__s1931.pdb	A	1.000000	1.000000	6306.655957	5543.634709	763.021248	14	700.472285	3	246.657058	3	192.925561	37.089738	False
