candidate_id	final_rank	top10_rank	pose_count	median_free_vhh_sasa_a2	median_binding_buried_sasa_a2	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	minimum_c_terminal_target_distance_a	c_terminal_contact_pose_count	ptm_motif_rows	exposed_ptm_residue_rows	exposed_noncontact_ptm_rows	exposed_noncontact_acid_clipping_rows	exposed_noncontact_isomerization_rows	structural_ptm_review_status	claim_boundary
P1MCPUFP__CPUFP500K_0288__00659	1	1	8	6474.594620	732.727530	14.000000	895.753516	3.000000	3.000000	35.019465	0	120	72	62	0	27	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	8	6126.027051	743.893640	12.500000	638.590701	5.000000	2.000000	31.490279	0	120	92	80	0	29	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	8	6332.669025	765.685570	14.000000	720.971377	3.000000	3.000000	33.702621	0	128	83	66	0	26	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0188__00519	4	4	8	6508.494384	763.184234	11.000000	556.015969	3.000000	4.000000	28.715816	0	104	69	63	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0100__00092	5	5	8	6697.201697	858.254556	13.000000	687.284560	3.000000	2.000000	34.747932	0	96	55	55	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	8	6576.139712	795.470151	13.000000	755.070547	3.000000	3.000000	27.064692	0	112	65	48	0	33	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	8	6618.501388	805.119794	15.500000	877.339511	3.000000	2.000000	32.079657	0	96	57	49	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_256613_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0A1B353F72DFABBD	8		8	6275.307356	939.923001	6.000000	466.479930	3.000000	2.000000	27.200245	0	88	44	39	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_183154_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__E25C2338B83B903C	9		8	6378.512915	882.710787	10.000000	489.877820	3.000000	2.000000	25.953070	0	96	51	38	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0188__00282	10		8	6304.347902	764.311280	8.000000	466.999528	4.000000	2.000000	32.853071	0	112	71	67	0	28	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_191476_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__310934EF4B70CA47	11		8	6623.540690	846.994637	11.000000	527.711822	3.000000	2.000000	30.811903	0	80	46	37	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0090__00532	12		8	6441.869624	674.214707	8.500000	511.124391	3.000000	2.000000	34.576289	0	104	59	56	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_177961_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8431DA62B813A913	13		8	6982.387048	875.535891	13.000000	872.810382	2.000000	3.000000	30.209704	0	128	88	85	0	49	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0100__00188	14		8	6440.666184	795.887648	10.000000	570.680443	3.000000	2.000000	30.323480	0	96	57	46	0	35	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_206644_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__53F648E960398F2F	15		8	6457.441064	849.846628	8.000000	351.363419	3.000000	2.000000	25.804683	0	112	53	35	0	26	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0002__00919	16		8	6289.828896	717.302907	8.000000	405.090224	3.000000	2.000000	28.826784	0	96	54	43	0	29	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0287__00804	17		8	6179.338433	642.364602	15.500000	968.221064	3.000000	2.500000	25.983842	0	128	80	69	0	26	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_127352_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb203_mpn04_arm_P6_ekg_L_backbone_P6_ekg_L_bb203_status_NEEDS_RF2_AND_DOCKING	18	8	8	6449.536785	660.766083	13.000000	781.455863	2.500000	2.000000	27.866355	0	120	85	78	0	26	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0089__00735	19		8	6526.291559	755.477981	17.000000	909.573844	3.000000	2.000000	31.480961	0	120	78	62	0	25	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_258472_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2E2B33208D567583	20		8	6264.372697	757.734304	6.000000	324.444054	3.000000	3.000000	29.887522	0	184	105	99	15	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_002130_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb177_mpn10_arm_P1_ekg_L_backbone_P1_ekg_L_bb177_status_NEEDS_RF2_AND_DOCKING	24	9	8	5918.546596	696.336431	7.500000	423.757505	3.000000	4.000000	33.269800	0	120	87	78	0	30	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_128014_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb258_mpn01_arm_P6_ekg_L_backbone_P6_ekg_L_bb258_status_NEEDS_RF2_AND_DOCKING	31	10	8	6188.924238	799.775735	10.500000	483.063381	3.000000	6.000000	30.638455	0	104	77	76	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
