candidate_id	unified_qc397_geometry_rank	selection_channel	reason	static_review_status
P1MCPUFP__CPUFP500K_0480__00342	6	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_281591_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__15CA64AD386B7214	27	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_191581_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9E3AE9DCA8949700	35	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0288__00637	36	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0299__00453	40	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_239668_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__50D97CA8CC2AFB22	47	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_233321_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9E5B8D888609C129	48	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_159348_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__564F02061B9AA7CD	49	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_238148_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__13EF49962A0FCB59	54	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_200457_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A149A81B99E0DA20	57	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_174243_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8297BA2EFEC9CE46	58	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_125672_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb054_mpn12_arm_P6_ekg_L_backbone_P6_ekg_L_bb054_status_NEEDS_RF2_AND_DOCKING	67	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_228757_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__72CDB2733C4ABD98	70	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0388__00797	72	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_270796_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__334DDB191384443B	74	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_154224_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__096BFCC82BA53995	76	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_194463_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__206E77D977D17852	77	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0134__00289	78	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_192026_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8977100CE0F0F35D	85	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0128__00809	89	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_198675_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0D2A06B8BC90D657	92	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_034751_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb120_mpn04_arm_P2_qkg_L_backbone_P2_qkg_L_bb120_status_NEEDS_RF2_AND_DOCKING	93	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0130__00610	97	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0405__00049	98	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_160511_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__BC2334AA2ABAAB60	99	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
