candidate_id	current_frozen_final50_rank	current_frozen_final50_score	merged_common4_geometry_rank	merged_common4_geometry_rank_delta	merged_common4_qc_geometry_rank	merged_common4_qc_geometry_rank_delta	strict_seed_count	broad_seed_count	pose_robustness_score	blocking_consensus_score	claim_boundary
P1MCPUFP__CPUFP500K_0288__00659	1	90.11	5	4	2	1	4	4	99.500000	99.850000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00519	2	92.42	22	20	8	6	4	4	98.750000	99.625000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0100__00092	3	89.92	23	20	9	6	4	4	98.750000	99.625000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0090__00532	4	91.30	45	41	21	17	4	4	98.250000	99.475000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00282	5	90.61	36	31	18	13	4	4	98.250000	99.475000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0100__00188	6	91.11	49	43	24	18	4	4	98.000000	99.400000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0002__00919	7	92.37	63	56	28	21	4	4	97.750000	99.325000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0287__00804	8	91.81	79	71	31	23	4	4	97.722220	99.316666	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0089__00735	9	91.43	110	101	38	29	4	4	97.000000	99.100000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0299__00453	10	91.34	112	102	40	30	4	4	97.000000	99.100000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0299__00780	11	90.95	129	118	45	34	4	4	96.750000	99.025000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0189__00858	12	90.80	146	134	50	38	4	4	96.500000	98.950000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0380__00771	13	88.55	158	145	55	42	4	4	96.250000	98.875000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0404__00029	14	90.78	173	159	59	45	4	4	96.222220	98.866666	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00549	15	92.44	176	161	60	45	4	4	96.000000	98.800000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0100__00383	16	92.05	184	168	63	47	4	4	96.000000	98.800000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0399__00131	17	91.41	187	170	66	49	4	4	96.000000	98.800000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00481	18	90.30	178	160	61	43	4	4	96.000000	98.800000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0404__00512	19	89.80	202	183	69	50	4	4	95.750000	98.725000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0484__00056	20	88.17	204	184	71	51	4	4	95.750000	98.725000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0091__00550	21	90.92	235	214	82	61	4	4	95.500000	98.650000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00189	22	90.83	234	212	81	59	4	4	95.500000	98.650000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
