evidence_id,category,molecule_or_model,measurement,value,source_section,source_url,mechanistic_interpretation,caveat
case03_001,identity,IBI352g4a,format,humanized IgG1 anti-PVRIG derived from murine clone ch44G1,Antibody generation,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Fc-competent format was intentionally used to test whether PVRIG blockade needs Fc effector function,Sequence not fully available in article body
case03_002,benchmark,BMK/COM701/CPA.7.021,format,humanized IgG4 anti-PVRIG benchmark,Antibody generation,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Provides weak-Fc comparator against IBI352g4a IgG1,Not necessarily identical to clinical COM701 material in all manufacturing details
case03_003,binding,IBI352g4a,human PVRIG BLI Kd,0.53 nM,Results Fig1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,High-affinity binding to PVRIG ECD,BLI setup and immobilization can affect apparent Kd
case03_004,binding,IBI352g4a,human PVRIG cell binding EC50,2.03 nM,Results Fig1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Confirms binding on cell-surface PVRIG,Overexpression cell line is not native T/NK context
case03_005,blocking,IBI352g4a,human PVRIG-PVRL2 blocking IC50,0.94 nM,Results Fig1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Confirms true ligand-blocking rather than only PVRIG binding,ELISA blocking assay is not full cell-cell synapse
case03_006,cross_reactivity,IBI352g4a,cynoPVRIG BLI Kd,2.71 nM,Results Fig1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Supports non-human-primate translational testing,Does not by itself prove cyno functional activity in vivo
case03_007,cross_reactivity,IBI352g4a,cynoPVRIG cell binding EC50,7.42 nM,Results Fig1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Cell binding retained for cynomolgus PVRIG,Overexpression system caveat
case03_008,nk_function,IBI352g4a + NK/K562 coculture,CD107a and CD137,Increased vs controls,Results Fig2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,PVRIG blockade promotes NK degranulation and activation,Exact percentages require figure extraction
case03_009,nk_killing,IBI352g4a + NK/K562 coculture,NK-mediated tumor cell killing EC50,0.075 nM,Results Fig2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Links PVRIG blockade to functional NK tumor killing,K562 is a simplified PVRL2-high tumor model
case03_010,t_cell_function,IBI352g4a,T-cell activation/proliferation/direct cytotoxic assays,minimal or near isotype control,Results FigS2 discussion,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Immediate in vitro effect is more NK-driven than T-cell-driven,Does not mean T cells are irrelevant in vivo
case03_011,in_vivo_model,IBI352g4a in B-NDG hIL15 vs NOG models,tumor efficacy,stronger in NK-supporting B-NDG hIL15; weaker in NOG,Results Fig3/S3,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Presence of NK compartment changes apparent PVRIG antibody efficacy,Preclinical model only
case03_012,temporal_moa,surrogate anti-PVRIG in CT26,first vs second dose TIL activation,NK activation first; CD8 T-cell activation later,Results Fig4,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Suggests NK-first then T-cell amplification sequence,Surrogate mouse antibody model not identical to human IBI352g4a
case03_013,depletion,surrogate anti-PVRIG in CT26,NK or CD8 depletion,NK depletion abolished/reduced efficacy; CD8 depletion also contributed,Results Fig5,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Both innate and adaptive immunity contribute, but NK is prominent,Exact quantitative effect requires figure extraction
case03_014,fc_dependency,mouse surrogate anti-PVRIG,muIgG2a vs muIgG1,muIgG2a stronger antitumor efficacy,Results Fig6,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,Fc effector function can amplify PVRIG blockade,Mouse Fc subclasses are not one-to-one human Fc subclasses
case03_015,fc_dependency,human anti-PVRIG,huIgG1 vs huIgG4,huIgG1 stronger efficacy and more NK cells,Results Fig6,https://pmc.ncbi.nlm.nih.gov/articles/PMC10981589/,IgG1 Fc/CD16a coengagement likely enhances NK activation,Does not mean every use case requires IgG1
