name,input_type,passed,reason_type,chain,cdr,positive_name,identity,threshold,details
PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,151,1,0.8,CDRH3 identity to 151 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,20,1,0.8,CDRH3 identity to 20 is 1 >= 0.8
PVRIG-20_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.866667,0.8,CDRH3 identity to 39 is 0.866667 >= 0.8
PVRIG-30_family_30_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,30,1,0.8,CDRH1 identity to 30 is 1 >= 0.8
PVRIG-30_family_30_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
PVRIG-30_family_30_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,30,1,0.8,CDRH3 identity to 30 is 1 >= 0.8
PVRIG-38_family_38_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,38,1,0.8,CDRH1 identity to 38 is 1 >= 0.8
