job_id	priority	entity_type	entity_id	control_class	expected_behavior	conformation	seed	sequence_sha256	cdr1_range	cdr2_range	cdr3_range	cdr_residues	monomer_source	monomer_source_kind	monomer_source_chain	receptor_pdb	receptor_chain	ligand_chain	vhh_chain	numbering	cfg_hash	restraint_hash	protocol_core_sha256	protocol_hash	job_hash	job_hash_basis
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_8x6b_s917_d2b4de3e6d99	1	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	8x6b	917	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	5f359d1e6eb0931fc463099948eace398f20cc3f585d29694ba82110028ba97c	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	d2b4de3e6d99fc94129d798a671ec70a981a4c83c006e01cff834bb90900def4	"{""cfg_hash"":""5f359d1e6eb0931fc463099948eace398f20cc3f585d29694ba82110028ba97c"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":917}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_8x6b_s1931_051bc8190736	2	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	8x6b	1931	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	f5fd4ea70d93077b74af5368823a692c87cbba836cc2afe14d4f7319aab7bbad	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	051bc81907364ae0e5c80717a80c3ecf8339318aea14e0fd90c1203918c6eaab	"{""cfg_hash"":""f5fd4ea70d93077b74af5368823a692c87cbba836cc2afe14d4f7319aab7bbad"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":1931}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_8x6b_s3253_d1c5bbb1e2e0	3	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	8x6b	3253	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	bc93b78bec9e13a5f4974dfe90a28f135e51a97c97ad794d41fb7f23ed607a95	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	d1c5bbb1e2e03baa2d141a8963969b15efae7f9e1a433d78c419f5d563a0125b	"{""cfg_hash"":""bc93b78bec9e13a5f4974dfe90a28f135e51a97c97ad794d41fb7f23ed607a95"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":3253}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_9e6y_s917_7a52755f62b7	4	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	9e6y	917	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	e55a2806f39ac9d074ed73de0a40b3d48990601808ba56d902be447a5fbc133b	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	7a52755f62b7247b4f36c0fffde3a44e7c6646127a08db931a44f6ebea431bda	"{""cfg_hash"":""e55a2806f39ac9d074ed73de0a40b3d48990601808ba56d902be447a5fbc133b"",""conformation"":""9e6y"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":917}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_9e6y_s1931_9301dd04b19b	5	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	9e6y	1931	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	9d234e8f6408c0ace2766a85192d39946ca726c7175e821bb6905b83ad45d4a2	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	9301dd04b19b7975391b958d3512e9e47fc53a4bd7df47e6a2b286b3d05cd6da	"{""cfg_hash"":""9d234e8f6408c0ace2766a85192d39946ca726c7175e821bb6905b83ad45d4a2"",""conformation"":""9e6y"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":1931}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_9e6y_s3253_40871fbd1f57	6	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01		CANDIDATE_UNKNOWN	9e6y	3253	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6d0543c564648a895e23c13dae120adc3e1bf7fa0a46c033cb3f63e24cd576cf	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	40871fbd1f576c9214eef834baa13e8ea18e05658c3d4e16f29e0267ba427edc	"{""cfg_hash"":""6d0543c564648a895e23c13dae120adc3e1bf7fa0a46c033cb3f63e24cd576cf"",""conformation"":""9e6y"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":3253}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00_8x6b_s917_b310be992f7d	7	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00		CANDIDATE_UNKNOWN	8x6b	917	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	5f359d1e6eb0931fc463099948eace398f20cc3f585d29694ba82110028ba97c	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	b310be992f7d807a8b12d7bf1021ddb71d5ef86906d284ec84dca21798ed39e1	"{""cfg_hash"":""5f359d1e6eb0931fc463099948eace398f20cc3f585d29694ba82110028ba97c"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":917}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00_8x6b_s1931_2b96eb1b78cf	8	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00		CANDIDATE_UNKNOWN	8x6b	1931	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	f5fd4ea70d93077b74af5368823a692c87cbba836cc2afe14d4f7319aab7bbad	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	2b96eb1b78cf569268563b135cba501b07c2549a92dd3cc4651ba288ba8918db	"{""cfg_hash"":""f5fd4ea70d93077b74af5368823a692c87cbba836cc2afe14d4f7319aab7bbad"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":1931}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00_8x6b_s3253_4ef7c04fb2a0	9	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00		CANDIDATE_UNKNOWN	8x6b	3253	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	bc93b78bec9e13a5f4974dfe90a28f135e51a97c97ad794d41fb7f23ed607a95	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	4ef7c04fb2a00be5d32e9322dc869a022a7203ec2bf25904ccad60e416c9911e	"{""cfg_hash"":""bc93b78bec9e13a5f4974dfe90a28f135e51a97c97ad794d41fb7f23ed607a95"",""conformation"":""8x6b"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":3253}"
CANDIDATE_RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00_9e6y_s917_881508d05ceb	10	candidate	RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00		CANDIDATE_UNKNOWN	9e6y	917	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	26-33	51-58	99-118	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00.pdb	frozen_node1_nbb2_acquisition	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	e55a2806f39ac9d074ed73de0a40b3d48990601808ba56d902be447a5fbc133b	9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7	881508d05ceb697329d9b2d1fef0a000b24f592d1c39f12b6aba7d810418a1b6	"{""cfg_hash"":""e55a2806f39ac9d074ed73de0a40b3d48990601808ba56d902be447a5fbc133b"",""conformation"":""9e6y"",""entity_id"":""RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00"",""entity_type"":""candidate"",""protocol_core_sha256"":""91d75291ff832c1e94cbc0bf6f1cdd75de6a8bb74611230cdcd1716466f37cb7"",""restraint_hash"":""9086f8960765eeb35363f63d1bc0e848bcaf8aa6a936c006b3cc1482949e7213"",""seed"":917}"
