candidate_id	nearest_team_neighbor	max_team_identity	intra_team_cluster_id	intra_team_cluster_size	diversity_score
PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate	151H7_family_151_role_positive_calibration_not_candidate	1.000000	C0001	3	70.00
PVRIG-20_family_20_role_positive_calibration_not_candidate	PVRIG-39_family_39_role_positive_calibration_not_candidate	0.955556	C0002	5	55.00
PVRIG-30_family_30_role_positive_calibration_not_candidate	30H2_family_30_role_positive_calibration_not_candidate	0.928571	C0003	2	85.00
PVRIG-38_family_38_role_positive_calibration_not_candidate	30H2_family_30_role_positive_calibration_not_candidate	0.544715	C0004	1	100.00
PVRIG-39_family_39_role_positive_calibration_not_candidate	39H2_family_39_role_positive_calibration_not_candidate	1.000000	C0002	5	55.00
20H5_family_20_role_positive_calibration_not_candidate	39H4_family_39_role_positive_calibration_not_candidate	0.955556	C0002	5	55.00
30H2_family_30_role_positive_calibration_not_candidate	PVRIG-30_family_30_role_positive_calibration_not_candidate	0.928571	C0003	2	85.00
39H2_family_39_role_positive_calibration_not_candidate	PVRIG-39_family_39_role_positive_calibration_not_candidate	1.000000	C0002	5	55.00
39H4_family_39_role_positive_calibration_not_candidate	PVRIG-39_family_39_role_positive_calibration_not_candidate	1.000000	C0002	5	55.00
151H7_family_151_role_positive_calibration_not_candidate	PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate	1.000000	C0001	3	70.00
151H8_family_151_role_positive_calibration_not_candidate	PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate	1.000000	C0001	3	70.00
