candidate_id	neural_R8	neural_R9	neural_Rdual	contact_score_R8	contact_score_R9
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B03__M00	0.55859375	0.49609375	0.49609375	0.2649003267288208	0.2571340799331665
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B05__M02	0.5546875	0.490234375	0.490234375	0.2599715292453766	0.252244234085083
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B05__M01	0.55859375	0.498046875	0.498046875	0.2689673602581024	0.26126664876937866
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B06__M01	0.55859375	0.498046875	0.498046875	0.2644413709640503	0.2566705644130707
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B01__M00	0.55859375	0.498046875	0.498046875	0.2697455883026123	0.2619664967060089
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B01__M01	0.5625	0.5	0.5	0.26541781425476074	0.2576408386230469
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B11__M00	0.55859375	0.498046875	0.498046875	0.26240551471710205	0.2546001970767975
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B02__M01	0.546875	0.484375	0.484375	0.25468313694000244	0.24687904119491577
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B10__M01	0.5625	0.5	0.5	0.2690318822860718	0.2614416182041168
RFV1__PLDNANO_VHH_00010__C_CROSS__H1H3__B03__M01	0.55859375	0.49609375	0.49609375	0.26843565702438354	0.26074421405792236
RFV1__PLDNANO_VHH_00010__C_CROSS__H1H3__B07__M00	0.5546875	0.490234375	0.490234375	0.25953957438468933	0.2515787184238434
RFV1__PLDNANO_VHH_00010__C_CROSS__H3__B05__M00	0.5625	0.5	0.5	0.26481276750564575	0.25714442133903503
RFV1__PLDNANO_VHH_00010__C_CROSS__H3__B07__M02	0.5546875	0.4921875	0.4921875	0.261583149433136	0.2538754642009735
RFV1__PLDNANO_VHH_00327__A_CENTER__H1H3__B02__M00	0.5625	0.5	0.5	0.27134397625923157	0.2635440230369568
RFV1__PLDNANO_VHH_00327__A_CENTER__H1H3__B04__M01	0.5625	0.50390625	0.50390625	0.2711579501628876	0.2631698548793793
