candidate_id	model_path	model_sha256	selected_model	haddock_score	vdw_energy	electrostatic_energy	desolvation_energy	air_energy	buried_surface_area	remark_count	haddock_remark_parse_status
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	675c2f5142c209ee46e38cf2a3e078c0b1e4b92fafc0795a7c7164f529d6f910	true	-75.1146	-31.3	-275.969	-8.33062	197.097	1518.25	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_1.pdb.gz	ac21089568c92a285e1647ac7dffaa392569283cad467e70481690be5c86e6e6	true	-70.078	-38.4519	-163.577	-4.33295	54.2227	1259.9	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_2.pdb.gz	842cdf8e74ee524eff431e4e1073459f9cc7a6b61e6ac1f3011414fc23f8f1b6	true	-67.4736	-40.1804	-125.72	-8.53569	63.865	1269.59	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_3.pdb.gz	4034bb42c3c4a1af960b1deb621ddae93eb1452ab97a88f17c840ab0f4b533b4	true	-65.6273	-41.7817	-126.473	-8.09885	95.4778	1276.81	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_4.pdb.gz	b18e39bcaaf92e412220ed5504093267c3bfa9eba6278b9e753d719c2c4cba2b	true	-61.9065	-38.2539	-146.52	-3.83743	94.8887	1163.57	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_3_model_1.pdb.gz	d6c4b32811cf4b7abe26386e84c5e1c4b8ae952db25ceff8e77f2a174b95cffc	true	-58.7009	-25.6054	-154.691	-13.6927	115.355	1147.95	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_3_model_2.pdb.gz	99a9bb66953bb8fdccd375523ffd8d731cefde1d79c3887bff3954f52ebe405d	true	-54.2869	-27.4281	-112.667	-15.009	106.835	989.371	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_3_model_3.pdb.gz	df1c5c12c202571ca25be0ed9028dd3de2a53bb453315f06cd77d3cff92a2d8d	true	-42.449	-19.5687	-120.788	-13.2783	145.557	994.288	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_4_model_1.pdb.gz	cb7ff618edf1de867bc79caeedab4f876d93432296f7cd63ee45a4845623fb8d	true	-55.9467	-35.4651	-146.76	-2.53719	114.076	1313.43	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	36d463d6b06634422b0ac9a42cb3eba90d83e2ebb2fd16e2a84a3464565f9142	true	-73.0994	-43.003	-132.03	-4.6087	9.18363	1509.19	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_2.pdb.gz	df31773ef568df66bcee502b7c12eb27c6774a797758192bc7d5bd51917234d7	true	-72.5779	-43.126	-156.456	-0.998491	28.3777	1553.12	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_3.pdb.gz	5afd14bf54c683bbf5abd1b881e5e3784bf5674455338671e16ae70e7b4c0481	true	-56.0445	-31.9218	-147.667	-2.47482	78.8558	1404.76	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_1.pdb.gz	c525c742eaaff754335ec6647290893e64de3aeadfb761becba512ccc3f4cdf4	true	-71.6207	-44.7059	-118.846	-7.8271	46.8147	1519.61	43	parsed
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_2_model_2.pdb.gz	bc2ccead1b9dc7424165ee68f8d26cf48483ed7f7a2cbff8a0792a36478a87a1	true	-64.3705	-46.8981	-98.4873	-5.29979	75.2483	1494.12	43	parsed
