pair_id,nanobody_id,antigen_id,probability,prediction
1,P1MCPUFP__CPUFP500K_0004__00429,pvrig_8x6b_chainB,0.24898336827754974,0
2,P1MCPUFP__CPUFP500K_0002__00041,pvrig_8x6b_chainB,0.3447193503379822,1
3,P1MCPUFP__CPUFP500K_0001__00003,pvrig_8x6b_chainB,0.12685976922512054,0
4,P1MCPUFP__CPUFP500K_0092__00071,pvrig_8x6b_chainB,0.08532639592885971,0
5,P1MCPUFP__CPUFP500K_0091__00006,pvrig_8x6b_chainB,0.11507853120565414,0
6,P1MCPUFP__CPUFP500K_0093__00280,pvrig_8x6b_chainB,0.0645570158958435,0
7,P1MCPUFP__CPUFP500K_0084__00006,pvrig_8x6b_chainB,0.26189589500427246,0
8,P1MCPUFP__CPUFP500K_0082__00033,pvrig_8x6b_chainB,0.12678951025009155,0
9,P1MCPUFP__CPUFP500K_0085__00008,pvrig_8x6b_chainB,0.4964345395565033,1
10,P1MCPUFP__CPUFP500K_0076__00009,pvrig_8x6b_chainB,0.2745520770549774,0
11,P1MCPUFP__CPUFP500K_0074__00010,pvrig_8x6b_chainB,0.4794579744338989,1
12,P1MCPUFP__CPUFP500K_0073__00012,pvrig_8x6b_chainB,0.5734343528747559,1
13,P1MCPUFP__CPUFP500K_0064__00012,pvrig_8x6b_chainB,0.20583471655845642,0
14,P1MCPUFP__CPUFP500K_0066__00013,pvrig_8x6b_chainB,0.4266558885574341,1
15,P1MCPUFP__CPUFP500K_0065__00014,pvrig_8x6b_chainB,0.3154311776161194,1
16,P1MCPUFP__CPUFP500K_0056__00015,pvrig_8x6b_chainB,0.14429636299610138,0
17,P1MCPUFP__CPUFP500K_0055__00016,pvrig_8x6b_chainB,0.15915586054325104,0
18,P1MCPUFP__CPUFP500K_0057__00017,pvrig_8x6b_chainB,0.16727373003959656,0
19,P1MCPUFP__CPUFP500K_0048__00018,pvrig_8x6b_chainB,0.5776796936988831,1
20,P1MCPUFP__CPUFP500K_0046__00021,pvrig_8x6b_chainB,0.4519215226173401,1
21,P1MCPUFP__CPUFP500K_0049__00068,pvrig_8x6b_chainB,0.6216901540756226,1
