candidate_id	nearest_team_neighbor	max_team_identity	intra_team_cluster_id	intra_team_cluster_size	diversity_score
PVRIG_CAND_001	PVRIG_CAND_039	0.879032	C0001	1	100.00
PVRIG_CAND_002	PVRIG_CAND_034	0.921260	C0002	2	85.00
PVRIG_CAND_003	PVRIG_CAND_049	0.921260	C0003	7	55.00
PVRIG_CAND_004	PVRIG_CAND_030	0.944882	C0004	3	70.00
PVRIG_CAND_005	PVRIG_CAND_021	0.874016	C0005	1	100.00
PVRIG_CAND_006	PVRIG_CAND_013	0.921260	C0006	4	70.00
PVRIG_CAND_007	PVRIG_CAND_006	0.897638	C0007	1	100.00
PVRIG_CAND_008	PVRIG_CAND_021	0.937008	C0008	3	70.00
PVRIG_CAND_009	PVRIG_CAND_014	0.897638	C0009	1	100.00
PVRIG_CAND_010	PVRIG_CAND_013	0.913386	C0006	4	70.00
PVRIG_CAND_011	PVRIG_CAND_008	0.929134	C0008	3	70.00
PVRIG_CAND_012	PVRIG_CAND_019	0.913386	C0003	7	55.00
PVRIG_CAND_013	PVRIG_CAND_016	0.944882	C0006	4	70.00
PVRIG_CAND_014	PVRIG_CAND_023	0.929134	C0010	5	55.00
PVRIG_CAND_015	PVRIG_CAND_025	0.905512	C0011	3	70.00
PVRIG_CAND_016	PVRIG_CAND_013	0.944882	C0006	4	70.00
PVRIG_CAND_017	PVRIG_CAND_049	0.905512	C0003	7	55.00
PVRIG_CAND_018	PVRIG_CAND_041	0.910569	C0012	4	70.00
PVRIG_CAND_019	PVRIG_CAND_028	0.937008	C0003	7	55.00
PVRIG_CAND_020	PVRIG_CAND_042	0.869919	C0013	1	100.00
PVRIG_CAND_021	PVRIG_CAND_008	0.937008	C0008	3	70.00
PVRIG_CAND_022	PVRIG_CAND_044	0.937008	C0010	5	55.00
PVRIG_CAND_023	PVRIG_CAND_014	0.929134	C0010	5	55.00
PVRIG_CAND_024	PVRIG_CAND_041	0.910569	C0012	4	70.00
PVRIG_CAND_025	PVRIG_CAND_026	0.913386	C0011	3	70.00
PVRIG_CAND_026	PVRIG_CAND_025	0.913386	C0011	3	70.00
PVRIG_CAND_027	PVRIG_CAND_004	0.913386	C0004	3	70.00
PVRIG_CAND_028	PVRIG_CAND_019	0.937008	C0003	7	55.00
PVRIG_CAND_029	PVRIG_CAND_012	0.913386	C0003	7	55.00
PVRIG_CAND_030	PVRIG_CAND_004	0.944882	C0004	3	70.00
PVRIG_CAND_031	PVRIG_CAND_035	0.887097	C0014	1	100.00
PVRIG_CAND_032	PVRIG_CAND_026	0.850394	C0015	1	100.00
PVRIG_CAND_033	PVRIG_CAND_044	0.937008	C0010	5	55.00
PVRIG_CAND_034	PVRIG_CAND_002	0.921260	C0002	2	85.00
PVRIG_CAND_035	PVRIG_CAND_036	0.903226	C0016	4	70.00
PVRIG_CAND_036	PVRIG_CAND_038	0.911290	C0016	4	70.00
PVRIG_CAND_037	PVRIG_CAND_041	0.894309	C0017	1	100.00
PVRIG_CAND_038	PVRIG_CAND_036	0.911290	C0016	4	70.00
PVRIG_CAND_039	PVRIG_CAND_038	0.903226	C0016	4	70.00
PVRIG_CAND_040	PVRIG_CAND_037	0.861789	C0018	1	100.00
PVRIG_CAND_041	PVRIG_CAND_018	0.910569	C0012	4	70.00
PVRIG_CAND_042	PVRIG_CAND_020	0.869919	C0019	1	100.00
PVRIG_CAND_043	PVRIG_CAND_020	0.861789	C0020	1	100.00
PVRIG_CAND_044	PVRIG_CAND_022	0.937008	C0010	5	55.00
PVRIG_CAND_045	PVRIG_CAND_046	0.921260	C0021	4	70.00
PVRIG_CAND_046	PVRIG_CAND_045	0.921260	C0021	4	70.00
PVRIG_CAND_047	PVRIG_CAND_048	0.921260	C0021	4	70.00
PVRIG_CAND_048	PVRIG_CAND_047	0.921260	C0021	4	70.00
PVRIG_CAND_049	PVRIG_CAND_019	0.929134	C0003	7	55.00
PVRIG_CAND_050	PVRIG_CAND_024	0.910569	C0012	4	70.00
