candidate_id	molecule_name	family	known_kd_m	known_pkd	deepnano_binding_prior	pose_count	proteinmpnn_loglik_cdr13_median	proteinmpnn_loglik_cdr13_mean	proteinmpnn_loglik_cdr13_stdev	proteinmpnn_loglik_cdr13_min	proteinmpnn_loglik_cdr13_max
case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	151	2e-10	9.69897	0.1023682	9	-2.192852735519409	-2.176934070057339	0.0944469077301588	-2.254769802093506	-1.951029896736145
case02_pos_02_PVRIG-20	PVRIG-20	20	2.36e-10	9.627088	0.11674213	9	-2.936713933944702	-2.9428747495015464	0.10808215318807307	-3.145076036453247	-2.8158206939697266
case02_pos_03_PVRIG-30	PVRIG-30	30	7.23e-10	9.1408617	0.25036657	9	-2.23038649559021	-2.1964966323640613	0.13948970616632508	-2.367202043533325	-1.9111155271530151
case02_pos_04_PVRIG-38	PVRIG-38	38	2.17e-09	8.66354027	0.07929732	9	-2.3959105014801025	-2.419204499986437	0.12700057270487616	-2.616126775741577	-2.204054594039917
case02_pos_05_PVRIG-39	PVRIG-39	39	6.96e-10	9.15739076	0.14434223	9	-2.6553869247436523	-2.6938045819600425	0.08370154207380606	-2.8407697677612305	-2.590412139892578
case02_pos_06_20H5	20H5	20	6.98e-11	10.15614458	0.15110798	9	-2.9424362182617188	-2.9332060548994274	0.1089566260185858	-3.085304021835327	-2.7673180103302
case02_pos_07_30H2	30H2	30	1.92e-09	8.71669877	0.10387722	9	-2.8351850509643555	-2.830767763985528	0.09456626470188727	-2.9255895614624023	-2.613356351852417
case02_pos_08_39H2	39H2	39	6.92e-10	9.15989391	0.13201044	9	-2.472445487976074	-2.4632836977640786	0.1437130800052228	-2.677001953125	-2.283048391342163
case02_pos_09_39H4	39H4	39	4.82e-10	9.31695296	0.14922237	9	-2.222287178039551	-2.2170454131232367	0.11136098372485712	-2.403113842010498	-2.0507004261016846
case02_pos_10_151H7	151H7	151	1.2e-09	8.92081875	0.12443242	9	-2.30194091796875	-2.327665673361884	0.11440494295052846	-2.514296054840088	-2.1540791988372803
case02_pos_11_151H8	151H8	151			0.09620614	9	-2.99078631401062	-2.960556904474894	0.12236006991398461	-3.101710319519043	-2.71087384223938
