candidate_id	molecule_name	family	known_kd_m	known_pkd	deepnano_binding_prior	pose_count	proteinmpnn_loglik_cdr_median	proteinmpnn_loglik_cdr_mean	proteinmpnn_loglik_cdr_stdev	proteinmpnn_loglik_cdr_min	proteinmpnn_loglik_cdr_max
case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	151	2e-10	9.69897	0.1023682	9	-2.12972092628479	-2.12180937661065	0.09089907483593433	-2.2374048233032227	-1.9543781280517578
case02_pos_02_PVRIG-20	PVRIG-20	20	2.36e-10	9.627088	0.11674213	9	-2.6622655391693115	-2.663770940568712	0.09584155489038451	-2.808933973312378	-2.5274510383605957
case02_pos_03_PVRIG-30	PVRIG-30	30	7.23e-10	9.1408617	0.25036657	9	-2.456987142562866	-2.434238380855984	0.1081539542982475	-2.5970747470855713	-2.218597173690796
case02_pos_04_PVRIG-38	PVRIG-38	38	2.17e-09	8.66354027	0.07929732	9	-2.203314781188965	-2.245100180308024	0.12671411159098642	-2.524695873260498	-2.1360926628112793
case02_pos_05_PVRIG-39	PVRIG-39	39	6.96e-10	9.15739076	0.14434223	9	-2.477879047393799	-2.4966252644856772	0.052981708036211696	-2.615900754928589	-2.4461143016815186
case02_pos_06_20H5	20H5	20	6.98e-11	10.15614458	0.15110798	9	-2.7303287982940674	-2.7310879230499268	0.07417451061803897	-2.8510711193084717	-2.6101953983306885
case02_pos_07_30H2	30H2	30	1.92e-09	8.71669877	0.10387722	9	-2.5451560020446777	-2.5442650847964816	0.07659912491678987	-2.618084669113159	-2.3924829959869385
case02_pos_08_39H2	39H2	39	6.92e-10	9.15989391	0.13201044	9	-2.26941180229187	-2.28519074122111	0.11529707563943702	-2.460986614227295	-2.118785858154297
case02_pos_09_39H4	39H4	39	4.82e-10	9.31695296	0.14922237	9	-2.1989026069641113	-2.1986021200815835	0.07094158846834164	-2.295546531677246	-2.1006014347076416
case02_pos_10_151H7	151H7	151	1.2e-09	8.92081875	0.12443242	9	-2.3693721294403076	-2.329332192738851	0.09409240955042387	-2.4729630947113037	-2.182465076446533
case02_pos_11_151H8	151H8	151			0.09620614	9	-2.815192222595215	-2.84287601047092	0.08150816439506336	-2.9508092403411865	-2.6926259994506836
