candidate_id	nbb2_status	monomer_pdb	geometry_report	sequence_validation_report	sequence_exact_match	monomer_qc_score	monomer_clash_score	ca_count	adjacent_ca_distance_min	adjacent_ca_distance_median	adjacent_ca_distance_max	adjacent_ca_distance_gt_6A	likely_sane_backbone
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_sequence_validation.json	True	1.0		120	3.772482206717482	3.8345765085599743	3.9021965609128406	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_sequence_validation.json	True	1.0		120	3.764814338051745	3.8357713696204567	3.912954126999191	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02_sequence_validation.json	True	1.0		120	3.7418067828256456	3.8384332741367264	3.894474290581464	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03_sequence_validation.json	True	1.0		120	3.7581816081716948	3.8341457979581324	3.919869768244858	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00_sequence_validation.json	True	1.0		122	3.7278457586118026	3.8415653059657853	3.8962896452907603	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01_sequence_validation.json	True	1.0		122	3.7433143068676458	3.840352327586624	3.9044481044060504	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02_sequence_validation.json	True	1.0		122	3.7772484694549804	3.839586696507842	3.9155446619850975	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03_sequence_validation.json	True	1.0		122	3.76252960121246	3.8451270460155142	3.901243135207032	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00_sequence_validation.json	True	1.0		120	3.7546869376820213	3.837955315008241	3.902305472409867	0	True
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01	success	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/monomer/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01_vhh_chainA.pdb	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01_monomer_geometry_qc.json	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/reports/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01_sequence_validation.json	True	1.0		120	3.7572213136838237	3.8403893031826866	3.9075242801548917	0	True
