candidate_id	postprocess_status	scored_pose_count	baseline_blocker_geometry	baseline_affinity_proxy	consensus_blocker_like_a_count	single_baseline_recheck_count	blocker_plausible_count	binder_like_count	evidence_only_count	best_haddock_rank	best_haddock_score	evidence_boundary
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	success	4	0	-75.1146	0	2	2	0	0	1	-75.1146	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	success	4	0	-73.0994	0	0	4	0	0	1	-73.0994	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02	success	4	0	-64.4525	0	2	2	0	0	1	-64.4525	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03	success	4	0	-69.7502	0	2	2	0	0	1	-69.7502	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00	success	4	0	-84.8698	0	0	4	0	0	1	-84.8698	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01	success	4	0	-61.1799	0	1	3	0	0	1	-61.1799	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02	success	4	0	-80.2031	0	1	3	0	0	1	-80.2031	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03	success	4	0	-65.4612	0	2	2	0	0	1	-65.4612	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00	success	4	0	-88.0892	0	0	4	0	0	1	-88.0892	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01	success	4	0	-82.5348	0	0	4	0	0	1	-82.5348	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn02	success	4	0	-73.6022	0	0	4	0	0	1	-73.6022	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn03	success	4	0	-82.1257	0	0	4	0	0	1	-82.1257	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn00	success	4	0.5	-95.3665	2	2	0	0	0	1	-95.3665	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn01	success	4	0	-73.9857	0	3	1	0	0	1	-73.9857	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn02	success	4	0	-89.6047	0	4	0	0	0	1	-89.6047	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn03	success	4	0	-75.2042	0	4	0	0	0	1	-75.2042	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn00	success	4	0	-83.4673	0	3	1	0	0	1	-83.4673	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
