candidate_id	final_rank	pose_count	alignment_ca_count_min	alignment_ca_count_median	alignment_ca_count_max	alignment_ca_rmsd_a_min	alignment_ca_rmsd_a_median	alignment_ca_rmsd_a_max	pvrig_vhh_residue_pair_contacts_4p5a_min	pvrig_vhh_residue_pair_contacts_4p5a_median	pvrig_vhh_residue_pair_contacts_4p5a_max	pvrig_vhh_residue_pair_clashes_2a_min	pvrig_vhh_residue_pair_clashes_2a_median	pvrig_vhh_residue_pair_clashes_2a_max	pvrig_contact_residue_count_min	pvrig_contact_residue_count_median	pvrig_contact_residue_count_max	vhh_contact_residue_count_min	vhh_contact_residue_count_median	vhh_contact_residue_count_max	hotspot_overlap_count_min	hotspot_overlap_count_median	hotspot_overlap_count_max	core_hotspot_overlap_count_min	core_hotspot_overlap_count_median	core_hotspot_overlap_count_max	cdr_contact_residue_fraction_min	cdr_contact_residue_fraction_median	cdr_contact_residue_fraction_max	cdr3_contact_residue_fraction_min	cdr3_contact_residue_fraction_median	cdr3_contact_residue_fraction_max	pvrl2_vhh_residue_pair_occlusion_4p5a_min	pvrl2_vhh_residue_pair_occlusion_4p5a_median	pvrl2_vhh_residue_pair_occlusion_4p5a_max	pvrl2_vhh_residue_pair_clashes_2a_min	pvrl2_vhh_residue_pair_clashes_2a_median	pvrl2_vhh_residue_pair_clashes_2a_max	cdr1_pvrl2_occlusion_min	cdr1_pvrl2_occlusion_median	cdr1_pvrl2_occlusion_max	cdr2_pvrl2_occlusion_min	cdr2_pvrl2_occlusion_median	cdr2_pvrl2_occlusion_max	cdr3_pvrl2_occlusion_min	cdr3_pvrl2_occlusion_median	cdr3_pvrl2_occlusion_max	cdr3_occlusion_fraction_min	cdr3_occlusion_fraction_median	cdr3_occlusion_fraction_max	framework_occlusion_fraction_min	framework_occlusion_fraction_median	framework_occlusion_fraction_max	vhh_sequence_matches_table_fraction	R95_contact_fraction	nterm_pvrig_contact_fraction	cterm_pvrig_contact_fraction	nterm_pvrl2_occlusion_fraction	cterm_pvrl2_occlusion_fraction	strict_mechanism_pose_fraction
P1MCPUFP__CPUFP500K_0288__00659	1	8	103.0	105.5	108.0	0.4892015777804074	0.5419784426117354	0.5712449437264557	40.0	45.5	51.0	0.0	0.0	0.0	20.0	20.5	22.0	15.0	19.0	21.0	16.0	20.0	20.0	15.0	19.0	19.0	0.8947368421052632	0.9486842105263158	1.0	0.35294117647058826	0.4	0.4666666666666667	694.0	763.0	993.0	184.0	193.5	253.0	70.0	106.0	110.0	31.0	55.5	80.0	168.0	190.5	225.0	0.18126888217522658	0.24684055811542915	0.3242074927953891	0.4783861671469741	0.5432412097850565	0.6384692849949648	1.0	0.875	0.875	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0188__00519	2	8	103.0	105.5	108.0	0.43705396222962994	0.4950889746447422	0.597308865056625	39.0	46.0	55.0	0.0	0.0	0.0	19.0	19.5	22.0	15.0	18.0	21.0	16.0	17.5	19.0	16.0	17.0	19.0	0.8888888888888888	0.9047619047619048	1.0	0.4666666666666667	0.6190476190476191	0.6666666666666666	626.0	712.5	812.0	162.0	190.5	208.0	97.0	106.5	116.0	49.0	80.5	95.0	140.0	178.5	185.0	0.22167487684729065	0.24437961134975164	0.28527131782945736	0.4263565891472868	0.48790926020608094	0.5726600985221675	1.0	1.0	0.875	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0100__00092	3	8	103.0	105.5	108.0	0.4667746346236479	0.5003577671443402	0.5336199120351052	53.0	60.5	65.0	0.0	0.0	0.0	20.0	22.5	26.0	18.0	20.0	23.0	16.0	16.5	19.0	15.0	15.5	18.0	0.8888888888888888	0.9	0.9545454545454546	0.3333333333333333	0.3956521739130435	0.5	807.0	848.0	907.0	187.0	205.5	220.0	79.0	87.5	105.0	25.0	29.5	37.0	176.0	179.0	198.0	0.20625724217844726	0.21367868725806582	0.23404255319148937	0.6313868613138686	0.636671940169711	0.6616454229432214	1.0	0.5	1.0	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0090__00532	4	8	103.0	105.5	108.0	0.4210483610971993	0.503816856143366	0.5602303911714985	33.0	44.0	48.0	0.0	0.0	0.0	15.0	19.0	20.0	13.0	16.5	19.0	14.0	17.0	18.0	14.0	17.0	18.0	0.8461538461538461	0.9330357142857143	0.9473684210526315	0.3333333333333333	0.45112781954887216	0.5384615384615384	713.0	911.5	987.0	179.0	217.5	257.0	71.0	96.5	110.0	55.0	75.5	88.0	135.0	178.0	212.0	0.1526639344262295	0.1960690081307192	0.2324561403508772	0.5765124555160143	0.6215010976948409	0.6444672131147541	1.0	0.625	0.875	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0188__00282	5	8	103.0	105.5	108.0	0.4880091391792675	0.5634227621109191	0.8026896532475372	38.0	45.0	52.0	0.0	0.0	0.0	17.0	20.5	23.0	14.0	17.0	20.0	15.0	18.5	21.0	15.0	17.5	19.0	0.9	0.930952380952381	1.0	0.26666666666666666	0.4131944444444444	0.6	737.0	798.0	868.0	189.0	204.5	222.0	69.0	93.5	110.0	67.0	87.5	95.0	179.0	210.5	213.0	0.23726851851851852	0.2471086099832816	0.28900949796472186	0.4735413839891452	0.5278671419876533	0.5613425925925926	1.0	1.0	0.875	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0100__00188	6	8	103.0	105.5	108.0	0.5073457476418328	0.5369422186187881	0.5833049914012417	40.0	42.0	52.0	0.0	0.0	0.0	16.0	21.0	23.0	15.0	18.0	20.0	15.0	19.0	21.0	14.0	18.5	20.0	0.8235294117647058	0.8777777777777778	0.9	0.4117647058823529	0.5381578947368422	0.6111111111111112	695.0	795.0	835.0	167.0	203.0	222.0	75.0	95.5	110.0	44.0	55.5	87.0	148.0	172.0	205.0	0.20660146699266504	0.21883437070568262	0.26015228426395937	0.5054054054054054	0.5807786269700945	0.6209386281588448	1.0	1.0	1.0	0.0	1.0	0.25	1.0
P1MCPUFP__CPUFP500K_0002__00919	7	8	103.0	105.5	108.0	0.49622836132225373	0.5457401846385446	0.5939274732439604	42.0	45.5	53.0	0.0	0.0	0.0	17.0	20.5	23.0	16.0	19.0	23.0	16.0	17.5	19.0	15.0	17.0	19.0	0.8421052631578947	0.8947368421052632	1.0	0.5263157894736842	0.5894736842105264	0.631578947368421	816.0	830.0	859.0	192.0	208.0	231.0	87.0	102.5	106.0	56.0	77.5	85.0	177.0	190.0	212.0	0.21454545454545454	0.22829558652729384	0.255729794933655	0.5186972255729795	0.5552961512682117	0.5963414634146341	1.0	1.0	0.875	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0287__00804	8	8	103.0	105.5	108.0	0.46506505826604194	0.4999502287821246	0.5743153197011402	36.0	46.5	54.0	0.0	0.0	0.0	14.0	18.5	21.0	15.0	18.0	21.0	14.0	16.5	21.0	14.0	16.0	20.0	0.7777777777777778	0.8214285714285714	1.0	0.4	0.5950292397660819	0.7647058823529411	641.0	789.5	992.0	159.0	198.5	251.0	92.0	103.0	109.0	32.0	89.0	97.0	129.0	203.5	221.0	0.20124804992199688	0.24837647233955454	0.26765799256505574	0.4857496902106567	0.5369077302866216	0.5997983870967742	1.0	0.875	0.875	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0089__00735	9	8	103.0	105.5	108.0	0.48759327237217037	0.5413806715859983	0.5884813746931548	37.0	45.5	55.0	0.0	0.0	0.0	19.0	22.0	26.0	15.0	17.5	20.0	17.0	19.0	21.0	17.0	19.0	20.0	0.8823529411764706	0.9372549019607843	0.9473684210526315	0.4117647058823529	0.513157894736842	0.5882352941176471	769.0	818.5	830.0	187.0	204.5	211.0	92.0	97.5	108.0	40.0	92.0	96.0	165.0	196.0	207.0	0.20195838433292534	0.243279098873592	0.2574772431729519	0.49934980494148246	0.5191463414634147	0.6340269277845777	1.0	1.0	1.0	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0299__00453	10	8	103.0	105.5	108.0	0.462115846441827	0.5381376628789831	1.7083497717928857	37.0	46.5	49.0	0.0	0.0	0.0	19.0	23.0	25.0	16.0	17.5	19.0	17.0	19.5	21.0	16.0	19.0	20.0	0.875	0.9150326797385621	0.9473684210526315	0.5555555555555556	0.5882352941176471	0.7777777777777778	752.0	855.0	923.0	182.0	219.5	244.0	80.0	95.5	115.0	44.0	63.0	96.0	141.0	188.5	207.0	0.1875	0.22088004303690356	0.2337317397078353	0.5073041168658698	0.5993472676175337	0.6228070175438597	1.0	1.0	1.0	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0299__00780	11	8	103.0	105.5	108.0	0.48502025965793333	0.5521755985337614	0.6641668329061798	38.0	47.0	56.0	0.0	0.0	0.0	18.0	20.5	21.0	15.0	18.5	22.0	16.0	19.0	20.0	15.0	18.0	19.0	0.875	0.9455882352941176	0.9545454545454546	0.29411764705882354	0.44155844155844154	0.5	659.0	704.0	803.0	169.0	171.5	201.0	50.0	93.5	111.0	33.0	54.0	95.0	141.0	175.5	207.0	0.20827178729689808	0.2403224769618798	0.2802721088435374	0.4748299319727891	0.5524748160699355	0.613947696139477	1.0	1.0	1.0	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0189__00858	12	8	103.0	105.5	108.0	0.4625352892169529	0.5720978307956419	0.6723024202286944	40.0	53.0	59.0	0.0	0.0	0.0	17.0	20.5	26.0	18.0	21.0	24.0	14.0	18.5	20.0	14.0	17.5	20.0	0.7777777777777778	0.8333333333333334	0.9473684210526315	0.25	0.3330039525691699	0.45	617.0	851.5	919.0	166.0	199.0	232.0	80.0	91.5	102.0	32.0	73.5	86.0	134.0	159.5	197.0	0.16808769792935443	0.20494081059390049	0.24311183144246354	0.5660639777468707	0.6072781272046778	0.6213151927437641	1.0	1.0	0.875	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0380__00771	13	8	103.0	105.5	108.0	0.43347359858738566	0.5221971770220748	0.5652613660661804	38.0	46.0	60.0	0.0	0.0	0.0	16.0	19.0	22.0	16.0	18.5	19.0	14.0	16.5	19.0	14.0	16.0	19.0	0.875	1.0	1.0	0.3157894736842105	0.40032679738562094	0.5625	611.0	893.5	961.0	145.0	220.5	245.0	71.0	97.5	108.0	35.0	53.0	74.0	116.0	208.5	213.0	0.16629464285714285	0.22069901537427744	0.24050632911392406	0.5482815057283142	0.6124306731397922	0.671875	1.0	0.25	0.375	0.0	1.0	0.5	1.0
P1MCPUFP__CPUFP500K_0404__00029	14	8	103.0	105.5	108.0	0.4928180470121736	0.5412332216032333	0.5622694837581131	33.0	41.0	64.0	0.0	0.0	0.0	17.0	21.0	30.0	15.0	17.0	19.0	14.0	19.0	21.0	13.0	18.0	20.0	0.7894736842105263	0.8284313725490196	1.0	0.4666666666666667	0.5394736842105263	0.6470588235294118	676.0	732.0	887.0	168.0	187.0	218.0	71.0	88.0	104.0	33.0	66.5	89.0	132.0	166.5	196.0	0.1952662721893491	0.21795124985421607	0.26049204052098407	0.4868804664723032	0.5781371148745154	0.6494325346784363	1.0	1.0	0.75	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0188__00549	15	8	103.0	105.5	108.0	0.46194937969176325	0.5146758515967602	0.6263839943788907	50.0	54.0	60.0	0.0	0.0	0.0	21.0	23.0	24.0	21.0	22.5	25.0	18.0	20.0	21.0	17.0	19.0	20.0	0.8571428571428571	0.9110671936758893	0.92	0.36363636363636365	0.4166666666666667	0.5238095238095238	659.0	699.5	709.0	168.0	181.5	195.0	87.0	97.0	104.0	31.0	35.0	48.0	143.0	147.5	160.0	0.2016925246826516	0.21624746912439227	0.22695035460992907	0.5644916540212443	0.5882513217938958	0.616361071932299	1.0	1.0	1.0	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0100__00383	16	8	103.0	105.5	108.0	0.4823595607300365	0.5609372922015854	0.5968905215761625	40.0	46.5	50.0	0.0	0.0	0.0	20.0	22.0	24.0	15.0	17.0	18.0	18.0	20.5	21.0	18.0	20.0	20.0	0.7777777777777778	0.8786764705882353	0.9444444444444444	0.4375	0.4852941176470588	0.6111111111111112	713.0	785.0	803.0	192.0	196.5	211.0	82.0	87.0	104.0	41.0	45.5	89.0	155.0	171.5	194.0	0.2058432934926959	0.21829764668787802	0.24770642201834864	0.5082592121982211	0.6138700184404888	0.6276463262764632	1.0	1.0	1.0	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0399__00131	17	8	103.0	105.5	108.0	0.4309011469607354	0.5026263154202164	0.5985449486463307	38.0	44.0	48.0	0.0	0.0	0.0	18.0	19.0	22.0	13.0	18.5	21.0	16.0	18.5	20.0	16.0	17.5	19.0	0.7692307692307693	0.8918128654970761	0.9473684210526315	0.47368421052631576	0.5590277777777778	0.6923076923076923	625.0	655.0	876.0	153.0	166.5	232.0	95.0	111.5	121.0	46.0	54.5	89.0	139.0	155.0	218.0	0.2115677321156773	0.23266987951807228	0.2757009345794392	0.40654205607476634	0.5204481927710843	0.6221461187214612	1.0	0.875	1.0	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0188__00481	18	8	103.0	105.5	108.0	0.5023382327250887	0.5468878988282357	0.6752021802483344	41.0	45.0	52.0	0.0	0.0	0.0	20.0	22.0	23.0	15.0	16.0	17.0	19.0	20.0	22.0	18.0	19.0	20.0	0.8235294117647058	0.8708333333333333	0.8823529411764706	0.5882352941176471	0.625	0.6666666666666666	745.0	777.5	988.0	173.0	189.0	257.0	85.0	90.0	99.0	90.0	103.5	109.0	194.0	197.0	210.0	0.2125506072874494	0.2533983216857264	0.26174496644295303	0.47651006711409394	0.4923594628577887	0.5991902834008097	1.0	1.0	1.0	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0404__00512	19	8	103.0	105.5	108.0	0.49634607018054416	0.5542018178379092	0.6391267456424049	38.0	43.5	49.0	0.0	0.0	0.0	17.0	19.5	24.0	15.0	16.0	19.0	16.0	17.5	20.0	16.0	17.0	20.0	0.8	0.8492647058823529	1.0	0.47368421052631576	0.5147058823529411	0.625	739.0	818.5	993.0	184.0	203.0	251.0	67.0	101.0	110.0	53.0	74.0	86.0	174.0	192.0	206.0	0.18529707955689828	0.23641352633233553	0.2535575679172057	0.5122897800776197	0.5556885422270038	0.6535750251762337	1.0	1.0	0.875	0.0	1.0	0.5	1.0
P1MCPUFP__CPUFP500K_0484__00056	20	8	103.0	105.5	108.0	0.44454479682846754	0.5199178562630834	0.6448179912401355	37.0	46.0	48.0	0.0	0.0	0.0	15.0	20.0	21.0	16.0	17.0	20.0	14.0	18.0	19.0	14.0	17.0	18.0	0.8235294117647058	0.91875	0.9411764705882353	0.375	0.4117647058823529	0.65	622.0	821.5	971.0	160.0	201.0	258.0	85.0	95.5	105.0	34.0	45.5	101.0	138.0	197.5	227.0	0.1930261519302615	0.22950772885373957	0.29305555555555557	0.4486111111111111	0.5943889072340198	0.6230690010298661	1.0	0.75	1.0	0.0	1.0	0.25	1.0
P1MCPUFP__CPUFP500K_0091__00550	21	8	103.0	105.5	108.0	0.47259455702069825	0.5599647494292823	0.7086408746878866	27.0	42.0	52.0	0.0	0.0	0.0	14.0	17.5	24.0	15.0	18.0	19.0	14.0	15.0	18.0	14.0	14.0	17.0	0.8666666666666667	0.9195906432748537	1.0	0.3157894736842105	0.3888888888888889	0.7333333333333333	652.0	681.5	754.0	156.0	178.5	202.0	79.0	95.5	110.0	64.0	73.5	84.0	129.0	142.0	170.0	0.17374005305039789	0.20840205344763527	0.2564102564102564	0.45701357466063347	0.5485923554347243	0.5981432360742706	1.0	1.0	0.75	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0188__00189	22	8	103.0	105.5	108.0	0.48636821900296234	0.5438402193998739	0.6394146987672796	37.0	44.0	54.0	0.0	0.0	0.0	18.0	19.5	23.0	17.0	18.5	23.0	16.0	17.5	19.0	15.0	16.5	18.0	0.8888888888888888	0.9271099744245523	0.95	0.4444444444444444	0.542483660130719	0.6666666666666666	628.0	689.0	966.0	150.0	178.5	242.0	68.0	109.0	118.0	39.0	76.5	86.0	123.0	159.0	216.0	0.19585987261146498	0.22226256087248125	0.25116279069767444	0.4788135593220339	0.5272358609863516	0.6262939958592133	1.0	0.875	1.0	0.0	1.0	0.25	1.0
P1MCPUFP__CPUFP500K_0207__00174	23	8	103.0	105.5	108.0	0.4788252451607304	0.5412066640028825	0.6161715484419321	41.0	45.5	52.0	0.0	0.0	0.0	20.0	21.5	24.0	16.0	16.5	19.0	14.0	18.0	21.0	13.0	17.0	20.0	0.8125	0.875	0.8947368421052632	0.3125	0.4540441176470588	0.5	709.0	807.0	876.0	173.0	203.0	219.0	82.0	96.0	102.0	42.0	68.5	87.0	183.0	186.5	191.0	0.21232876712328766	0.23187574052132703	0.2623413258110014	0.4781382228490832	0.5640856139053254	0.6329849012775842	1.0	0.625	1.0	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0405__00049	24	8	103.0	105.5	108.0	0.4645290763950555	0.4912846893244093	0.5832272332203564	44.0	48.5	57.0	0.0	0.0	0.0	17.0	20.0	23.0	20.0	21.5	23.0	16.0	17.5	18.0	15.0	16.5	17.0	0.9	0.9069264069264069	0.9130434782608695	0.5217391304347826	0.6277056277056277	0.7	634.0	683.0	696.0	163.0	174.0	186.0	96.0	100.5	107.0	40.0	45.5	63.0	129.0	137.0	145.0	0.1939655172413793	0.2055364866157296	0.2104499274310595	0.5597122302158274	0.5802800089245872	0.5834564254062038	1.0	1.0	1.0	0.0	1.0	0.0	1.0
