candidate_id	molecule_name	family	known_kd_m	known_pkd	deepnano_binding_prior	pose_count	proteinmpnn_loglik_median	proteinmpnn_loglik_mean	proteinmpnn_loglik_stdev	proteinmpnn_loglik_min	proteinmpnn_loglik_max
case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	151	2e-10	9.69897	0.1023682	9	-1.6213829517364502	-1.6117218335469563	0.04087424956846624	-1.6705348491668701	-1.556264877319336
case02_pos_02_PVRIG-20	PVRIG-20	20	2.36e-10	9.627088	0.11674213	9	-1.8647762537002563	-1.8660861651102703	0.018069507070872192	-1.8882534503936768	-1.8404220342636108
case02_pos_03_PVRIG-30	PVRIG-30	30	7.23e-10	9.1408617	0.25036657	9	-1.913473129272461	-1.9141887293921576	0.031107293610692893	-1.970123529434204	-1.872543215751648
case02_pos_04_PVRIG-38	PVRIG-38	38	2.17e-09	8.66354027	0.07929732	9	-1.6595942974090576	-1.6816821363237169	0.055588530371358136	-1.8068995475769043	-1.6379483938217163
case02_pos_05_PVRIG-39	PVRIG-39	39	6.96e-10	9.15739076	0.14434223	9	-1.7081032991409302	-1.7164214717017279	0.02257871118648973	-1.7425369024276733	-1.6787991523742676
case02_pos_06_20H5	20H5	20	6.98e-11	10.15614458	0.15110798	9	-1.828091025352478	-1.8278896278805203	0.028782188882434875	-1.8703407049179077	-1.7732157707214355
case02_pos_07_30H2	30H2	30	1.92e-09	8.71669877	0.10387722	9	-1.7597850561141968	-1.7555269400278728	0.03927560094162668	-1.8152228593826294	-1.6994991302490234
case02_pos_08_39H2	39H2	39	6.92e-10	9.15989391	0.13201044	9	-1.7367771863937378	-1.7444258133570354	0.035362718947314825	-1.8026186227798462	-1.6887404918670654
case02_pos_09_39H4	39H4	39	4.82e-10	9.31695296	0.14922237	9	-1.733946442604065	-1.7308431201510959	0.031392919695189356	-1.7657158374786377	-1.6599057912826538
case02_pos_10_151H7	151H7	151	1.2e-09	8.92081875	0.12443242	9	-1.753941297531128	-1.7565217680401273	0.02399968453299642	-1.793175220489502	-1.7121033668518066
case02_pos_11_151H8	151H8	151			0.09620614	9	-1.8292303085327148	-1.840715805689494	0.034731464524058675	-1.9116275310516357	-1.8076213598251343
