candidate_id	deepnano_binding_prior	nabp_binding_prior	nanobind_binding_prior	nanobind_affinity_range	binding_model_count	binding_prior_consensus	binding_model_disagreement	binding_prior_status	binding_prior_source
case02_pos_01_PVRIG-151_HR151	0.10236820		0.54870957	[9e-09,1e-08] M	2	0.32553889	0.44634137	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_02_PVRIG-20	0.11674213		0.27256736	[3.5e-09,4e-09] M	2	0.19465475	0.15582523	MULTI_MODEL_CONSENSUS	DeepNano;NanoBind-seq
case02_pos_03_PVRIG-30	0.25036657		0.82854533	[9e-09,1e-08] M	2	0.53945595	0.57817876	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_04_PVRIG-38	0.07929732		0.21410201	[5.7e-09,7.4e-09] M	2	0.14669967	0.13480469	MULTI_MODEL_CONSENSUS	DeepNano;NanoBind-seq
case02_pos_05_PVRIG-39	0.14434223		0.66573507	[3.5e-09,4e-09] M	2	0.40503865	0.52139284	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_06_20H5	0.15110798		0.50454497	[5.7e-09,7.4e-09] M	2	0.32782648	0.35343699	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_07_30H2	0.10387722		0.51750362	[9e-09,1e-08] M	2	0.31069042	0.41362640	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_08_39H2	0.13201044		0.50693119	[3.5e-09,4e-09] M	2	0.31947081	0.37492075	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_09_39H4	0.14922237		0.60537344	[3.5e-09,4e-09] M	2	0.37729791	0.45615107	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_10_151H7	0.12443242		0.64824682	[9e-09,1e-08] M	2	0.38633962	0.52381441	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
case02_pos_11_151H8	0.09620614		0.54764742	[9e-09,1e-08] M	2	0.32192678	0.45144128	MULTI_MODEL_DISAGREEMENT	DeepNano;NanoBind-seq
