candidate_id	sequence_sha256	arm_id	backbone_group_id	sequence_group_id	known_positive	known_positive_ids	split	binder_axis_status	binder_label	pose_quality_status	pose_quality_haddock_score	affinity_proxy_status	affinity_proxy_score	blocker_geometry_status	blocker_geometry_score	rf2_recovery_status	rf2_recovery_rmsd	rf2_plddt	monomer_qc_status	monomer_qc_score	docking_status	selected_model_path	training_eligible
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	bc16478f95b10908bedcb24f1393f98496cec601ad639fb0ef8169095343ee08	P1_ekg_L	P1_ekg_L_bb000	cdr3fam_bd2aac4b6d7c365c	false		train	deferred	unknown	present	-75.1146	present	-75.1146	present	0.0	present	6.53	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	40624b2642cd1e107e418c8b98545c6ffc061d4b9feddfdec49ca853391c89e4	P1_ekg_L	P1_ekg_L_bb000	cdr3fam_3ef0c099f94e06dd	false		train	deferred	unknown	present	-73.0994	present	-73.0994	present	0.0	present	7.76	0.92	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02	f0fe8b86eb3078dde94b2b1840c18290ad12695b04b95a2205de8988511a3ab4	P1_ekg_L	P1_ekg_L_bb000	cdr3fam_bd2aac4b6d7c365c	false		train	deferred	unknown	present	-64.4525	present	-64.4525	present	0.0	present	9.44	0.89	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03	19cd809ca367b1a573d05c35ab7edb7c83a214d5286aaac8798f724645d323a0	P1_ekg_L	P1_ekg_L_bb000	cdr3fam_bd2aac4b6d7c365c	false		train	deferred	unknown	present	-69.7502	present	-69.7502	present	0.0	present	6.17	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03/run_PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00	97efde95f59c1589c2dbca72cbf236730e21fa0ab99eb39e85dfae952ee5d608	P1_ekg_L	P1_ekg_L_bb001	cdr3fam_6fbf6dd84aa9a641	false		train	deferred	unknown	present	-84.8698	present	-84.8698	present	0.0	present	22.96	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01	4e3afcfeffcae3a3376ea3e174961ad30c33325975650582fa0a11ff7cdf3143	P1_ekg_L	P1_ekg_L_bb001	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-61.1799	present	-61.1799	present	0.0	present	36.23	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02	ebc7c8edc2feb9045c1d50e39b2cfa7ced9502f0d8d79bbd3c351ebd440bbbfd	P1_ekg_L	P1_ekg_L_bb001	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-80.2031	present	-80.2031	present	0.0	present	15.61	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03	544b0863601b4ab11b3e65d57018f3f45a96fbded6f64c909bd352cbbbfd9aef	P1_ekg_L	P1_ekg_L_bb001	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-65.4612	present	-65.4612	present	0.0	present	42.25	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03/run_PVRIG_RFAb_v2_P1_ekg_L_bb001_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00	e4ed58816bca7a9b020bbe4f32d1756699a009ec5c016b0fc6b349898e809b40	P1_ekg_L	P1_ekg_L_bb002	cdr3fam_437693d92536fdcc	false		train	deferred	unknown	present	-88.0892	present	-88.0892	present	0.0	present	6.98	0.92	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01	458712b4f59cdb8bc8512f4889e6da27292c5e199d90ba080f0d989be19df4ab	P1_ekg_L	P1_ekg_L_bb002	cdr3fam_96c07e14d0884ef6	false		train	deferred	unknown	present	-82.5348	present	-82.5348	present	0.0	present	9.5	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn02	7ef8e3c211555597a8d6162f6bd94bda2b7eb0ac3cf06c58632a1c7cd76d1ae9	P1_ekg_L	P1_ekg_L_bb002	cdr3fam_437693d92536fdcc	false		train	deferred	unknown	present	-73.6022	present	-73.6022	present	0.0	present	8.63	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn03	3e834ed0e943f6311f33f9059e8878883d11f95a77b0250862c2d579f8f787fc	P1_ekg_L	P1_ekg_L_bb002	cdr3fam_437693d92536fdcc	false		train	deferred	unknown	present	-82.1257	present	-82.1257	present	0.0	present	7.51	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn03/run_PVRIG_RFAb_v2_P1_ekg_L_bb002_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn00	d6eeaa6a74f9be4021fdd6b89ff0d9e2b0128ac01cb71017496050a8f43c410f	P1_ekg_L	P1_ekg_L_bb003	cdr3fam_46fd6a273c482d41	false		train	deferred	unknown	present	-95.3665	present	-95.3665	present	0.5	present	15.09	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn01	2b6f7afc6ce9fbb58a68b705cd47b6418d41c31a9505210e1f4e6fb653365445	P1_ekg_L	P1_ekg_L_bb003	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-73.9857	present	-73.9857	present	0.0	present	16.01	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn02	1e1013f0ebf2c2356651b37eba265347b860a1ba75946c6f6776560242c2eab8	P1_ekg_L	P1_ekg_L_bb003	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-89.6047	present	-89.6047	present	0.0	present	22.43	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn03	e62b002dfbccb8e853ead17c7d2ef4ab18abfdb0e3b1d8f4f7d0eef9c86990a9	P1_ekg_L	P1_ekg_L_bb003	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-75.2042	present	-75.2042	present	0.0	present	18.99	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn03/run_PVRIG_RFAb_v2_P1_ekg_L_bb003_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
