final_rank	top10_rank	candidate_id	conformation	seed	state	representative_model	pdb_path	pdb_sha256	archive_path	archive_symlink	archive_sha256	haddock_score	representative_pair_label
1		P1MCPUFP__CPUFP500K_0288__00659	8x6b	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42__cluster_1_model_1.pdb	e7168b69bec92a42310de18b3f2805f17030d108d62d9a2a94ef204f1d474875	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s42_82c844237df9.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s42_82c844237df9.tar.gz	0df518edfbea3149116fe35cbb8041fa27b4c87317ab8f587a3a7794d7155077	-78.2441	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917__cluster_1_model_1.pdb	a982fed87ab44bb15e1082f502a7dc94cd0f2ba2a42ee26783f2d86cee1ef565	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s917_a58d0caec33e.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s917_a58d0caec33e.tar.gz	43beaa694ffb2eb57b7c2449aa582cf9bbb91a57588751cbdbab223bfe81c57c	-72.7329	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931__cluster_1_model_1.pdb	b559661dd4029dd37d7e4b4b818f4acd12186cb616e03b3e23fd1f4f3ff63054	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s1931_16a65d3eb246.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s1931_16a65d3eb246.tar.gz	689e3c3a612791b361a767e809be487a6cd14b9f1a931b9d4d96a2c44162cd53	-65.91562	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	8x6b	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047__cluster_1_model_1.pdb	1603399eea4c7e76ed4cac3e9bb9e46ef63638c1d15e8dd7e89a4d61672baba5	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s3047_329c9d6b5be6.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_8x6b_s3047_329c9d6b5be6.tar.gz	853932532d69dd22ecfa6739e8d7ced2e17c952113c8df5a437e00d7563eb956	-84.38310000000001	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	9e6y	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42__cluster_1_model_1.pdb	24070b3d6e23ded23dc3ee3016c8e65ebd085d74898727e0e6e21bc06ba104a0	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s42_ab71026c84de.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s42_ab71026c84de.tar.gz	66138b0381ab535012541958c4dc2650c9e4e887ebc769de64158363b6ecf309	-57.17300000000001	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917__cluster_1_model_1.pdb	ab8fb55053b332b35e112df9ad1ed68401bc573efeda13ab4d7784162fb715c8	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s917_974dd02ead33.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s917_974dd02ead33.tar.gz	65dbf5b0bcc4ec1a214c616040b00db3a3ac35d917c038b48a371b8e6ad14bfb	-74.9533	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931__cluster_1_model_1.pdb	5afb75e586f8defe596e90e722914f53dd545cc47712292770b55417e91e014b	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s1931_9981534b21f6.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s1931_9981534b21f6.tar.gz	651b2c9e7f67513e0bc8ceb1a909897293af1fb3003de37e47baae829fbdf43d	-72.32260000000001	STRICT_A
1		P1MCPUFP__CPUFP500K_0288__00659	9e6y	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047__cluster_1_model_1.pdb	e91b6d81e4713125c9f671e65642b6f7e77a74a669fea572b2108e19d731c33a	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s3047_36838e6f48ea.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0288__00659_9e6y_s3047_36838e6f48ea.tar.gz	d5d730f3dd7754a0a0f0b5621b3881139880869e25613c418695c38e5132bf00	-70.8307	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	8x6b	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s42__cluster_1_model_1.pdb	b036ac7d7a0a46461b4e7fc871b417a05e3eb6c60ff1838ab70e5fd391b1f831	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s42_27897e361e04.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s42_27897e361e04.tar.gz	20d066d7168eeb4478bfb05bf9a972813b1eecc6c1a3ddaee80d1a555fb51f41	-66.69977999999999	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s917__cluster_1_model_1.pdb	46e31406e95b34957b652ad926343ca52848157c5a12879a7282f398292741f1	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s917_91b35b9738b7.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s917_91b35b9738b7.tar.gz	7d42fc6aebd10c26be8134a6172d7a17ab3ea90d7a4f5d585bb0b31b7f7e3956	-56.2451	STRICT_A
