job_id	entity_id	entity_type	control_class	expected_behavior	conformation	seed	state	attempts	selected_model_count	pose_score_model_count	pose_backed_2x2	representative_model	haddock_score	air_energy	native_class	cross_class	representative_pair_label	model_pair_consensus_fraction	model_native_cross_support_agreement_fraction	model_strict_a_fraction	native_hotspot_overlap	cross_hotspot_overlap	native_holdout_overlap	cross_holdout_overlap	native_total_occlusion	cross_total_occlusion	native_cdr3_occlusion	cross_cdr3_occlusion	native_cdr3_fraction	cross_cdr3_fraction	anomaly_flag	anomaly_reason	job_hash
CANDIDATE_V29_GEN__C0001__0604783E89058161_8x6b_s917_e35a6ed603de	V29_GEN__C0001__0604783E89058161	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-91.67670000000001	193.519	B	B	SUPPORTED_AB	0.6	1.0	0.3	18	18	10	10	505	463	98	95	0.194059	0.205184	false		e35a6ed603de62aa8706bd31dac096193a3a4fbedd28d062be3c580128760e39
CANDIDATE_V29_GEN__C0001__0604783E89058161_9e6y_s917_0e6e00b5a98c	V29_GEN__C0001__0604783E89058161	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-75.09329999999999	197.463	E	E	OTHER	0.4	1.0	0.4	12	12	6	6	763	782	70	74	0.091743	0.094629	false		0e6e00b5a98c16606490a1bb85188a585f2e8458280a93c952b6e89b47b8f0a5
CANDIDATE_V29_GEN__C0001__1134627D6F77BC7C_8x6b_s917_d457c49bfe70	V29_GEN__C0001__1134627D6F77BC7C	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-65.65802	292.398	A	A	STRICT_A	0.5	1.0	0.5	17	17	8	8	552	554	118	115	0.213768	0.207581	false		d457c49bfe70df3dc56bfd97eff9c3f49c3e327ddb247034621f095d1b5e2e6e
CANDIDATE_V29_GEN__C0001__1134627D6F77BC7C_9e6y_s917_dc1e75e0b68a	V29_GEN__C0001__1134627D6F77BC7C	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-67.19264000000001	285.865	B	A	SUPPORTED_AB	0.6	0.9	0.3	17	17	8	8	487	536	99	106	0.203285	0.197761	false		dc1e75e0b68a45f55629281f31fce7b8754545fd2925f80d63ec31568c096341
CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_8x6b_s917_964d1c53bef8	V29_GEN__C0001__2C1317F5D5743358	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-87.67228	208.161	A	A	STRICT_A	0.5	1.0	0.5	14	14	6	6	616	618	136	137	0.220779	0.221683	false		964d1c53bef8deee9c48cfcd3e0e1ab16fa5cf7ae8f32c3c38f5e2d81eb49132
CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_9e6y_s917_1b04d75e7589	V29_GEN__C0001__2C1317F5D5743358	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-65.30646	339.996	E	E	OTHER	0.4	1.0	0.3	7	7	4	4	332	318	24	21	0.072289	0.066038	false		1b04d75e758928db0427bb1691a52509bba36dac8464ff83bdf7c2785e7a0ce7
CANDIDATE_V29_GEN__C0001__2C5C51F980D0BF6A_8x6b_s917_2f498dba54fa	V29_GEN__C0001__2C5C51F980D0BF6A	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-112.4318	135.219	A	A	STRICT_A	1.0	1.0	1.0	17	17	8	8	698	696	134	128	0.191977	0.183908	false		2f498dba54fa6d598d9c90fdde48fc29ac4beb6ea1dbab5d4afc84170b5b1462
CANDIDATE_V29_GEN__C0001__2C5C51F980D0BF6A_9e6y_s917_7dee8db73180	V29_GEN__C0001__2C5C51F980D0BF6A	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-100.8267	168.619	A	A	STRICT_A	1.0	1.0	1.0	18	18	8	8	665	676	118	129	0.177444	0.190828	false		7dee8db7318006b5e5ba18107aea5783f720270a154ce61a867c9d72c77debe5
CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_8x6b_s917_48c739553ce2	V29_GEN__C0001__8F523EB00420ADD0	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-88.19229999999999	241.4	A	A	STRICT_A	0.7	1.0	0.7	15	15	8	8	589	552	145	143	0.24618	0.259058	false		48c739553ce270917e6e0fd24b207367139f960a44cdca56487deb78d82567f4
CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_9e6y_s917_0d1d5ebba507	V29_GEN__C0001__8F523EB00420ADD0	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-80.51976000000002	258.106	A	A	STRICT_A	0.5	1.0	0.5	14	14	7	7	612	649	147	147	0.240196	0.226502	false		0d1d5ebba507907808d84e061f1110eede53271e20fd36c10f876dbec2ae9301
