candidate_id	molecule_name	family	known_kd_m	known_pkd	deepnano_binding_prior	pose_count	proteinmpnn_loglik_median	proteinmpnn_loglik_mean	proteinmpnn_loglik_stdev	proteinmpnn_loglik_min	proteinmpnn_loglik_max
case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	151	2e-10	9.69897	0.1023682	9	-1.73009192943573	-1.756559477912055	0.043593983953793845	-1.820388913154602	-1.716252326965332
case02_pos_02_PVRIG-20	PVRIG-20	20	2.36e-10	9.627088	0.11674213	9	-1.7781587839126587	-1.7865419917636447	0.05239188924638486	-1.903218150138855	-1.7267338037490845
case02_pos_03_PVRIG-30	PVRIG-30	30	7.23e-10	9.1408617	0.25036657	9	-1.7668207883834839	-1.7770050764083862	0.0550967717038595	-1.8972088098526	-1.6965136528015137
case02_pos_04_PVRIG-38	PVRIG-38	38	2.17e-09	8.66354027	0.07929732	9	-1.7423869371414185	-1.7544822427961562	0.05594568960239671	-1.8586030006408691	-1.699069619178772
case02_pos_05_PVRIG-39	PVRIG-39	39	6.96e-10	9.15739076	0.14434223	9	-1.8151357173919678	-1.815735313627455	0.03545893374566748	-1.8721414804458618	-1.747559905052185
case02_pos_06_20H5	20H5	20	6.98e-11	10.15614458	0.15110798	9	-1.8119707107543945	-1.8091406027475994	0.02944661073980616	-1.8546892404556274	-1.7663211822509766
case02_pos_07_30H2	30H2	30	1.92e-09	8.71669877	0.10387722	9	-1.7937339544296265	-1.7912380827797785	0.0400668110806134	-1.8505927324295044	-1.725845217704773
case02_pos_08_39H2	39H2	39	6.92e-10	9.15989391	0.13201044	9	-1.8182127475738525	-1.8059833712048001	0.05760883614042226	-1.8717979192733765	-1.6899820566177368
case02_pos_09_39H4	39H4	39	4.82e-10	9.31695296	0.14922237	9	-1.759962797164917	-1.7709768348269992	0.05032136956000874	-1.8601115942001343	-1.7033839225769043
case02_pos_10_151H7	151H7	151	1.2e-09	8.92081875	0.12443242	9	-1.7903056144714355	-1.7820707162221272	0.03748963833895285	-1.832323431968689	-1.725380301475525
case02_pos_11_151H8	151H8	151			0.09620614	9	-1.7674267292022705	-1.7874488963021173	0.05032929062598731	-1.8648536205291748	-1.7353160381317139
