submission_id	competition_rank_1_50	mechanism_rank_immutable	candidate_id	max_team_cdr1_identity	max_team_cdr1_peer_submission_id	max_team_cdr2_identity	max_team_cdr2_peer_submission_id	max_team_cdr3_identity	max_team_cdr3_peer_submission_id	max_team_any_cdr_identity	max_team_any_cdr_peer_submission_id	max_team_any_cdr_name
PVRIG_CAND_001	1	2	NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	0.875000	PVRIG_CAND_018	0.625000	PVRIG_CAND_018	0.529412	PVRIG_CAND_037	0.875000	PVRIG_CAND_018	cdr1
PVRIG_CAND_002	2	3	NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	0.800000	PVRIG_CAND_006	0.714286	PVRIG_CAND_008	0.736842	PVRIG_CAND_034	0.800000	PVRIG_CAND_006	cdr1
PVRIG_CAND_003	3	4	P1MCPUFP__CPUFP500K_0188__00519	0.600000	PVRIG_CAND_012	0.857143	PVRIG_CAND_012	0.789474	PVRIG_CAND_028	0.857143	PVRIG_CAND_012	cdr2
PVRIG_CAND_004	4	6	NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	0.900000	PVRIG_CAND_030	0.857143	PVRIG_CAND_005	0.736842	PVRIG_CAND_030	0.900000	PVRIG_CAND_030	cdr1
PVRIG_CAND_005	5	8	NODE1GEN_256613_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0A1B353F72DFABBD	0.600000	PVRIG_CAND_004	0.857143	PVRIG_CAND_004	0.684211	PVRIG_CAND_021	0.857143	PVRIG_CAND_004	cdr2
PVRIG_CAND_006	6	9	NODE1GEN_183154_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__E25C2338B83B903C	0.800000	PVRIG_CAND_002	0.857143	PVRIG_CAND_013	0.684211	PVRIG_CAND_013	0.857143	PVRIG_CAND_013	cdr2
PVRIG_CAND_007	7	14	P1MCPUFP__CPUFP500K_0100__00188	1.000000	PVRIG_CAND_016	0.714286	PVRIG_CAND_008	0.578947	PVRIG_CAND_006	1.000000	PVRIG_CAND_016	cdr1
PVRIG_CAND_008	8	16	P1MCPUFP__CPUFP500K_0002__00919	0.900000	PVRIG_CAND_011	0.857143	PVRIG_CAND_025	0.789474	PVRIG_CAND_021	0.900000	PVRIG_CAND_011	cdr1
PVRIG_CAND_009	9	1	P1MCPUFP__CPUFP500K_0288__00659	0.800000	PVRIG_CAND_014	0.857143	PVRIG_CAND_014	0.684211	PVRIG_CAND_033	0.857143	PVRIG_CAND_014	cdr2
PVRIG_CAND_010	10	5	P1MCPUFP__CPUFP500K_0100__00092	0.900000	PVRIG_CAND_013	0.714286	PVRIG_CAND_045	0.684211	PVRIG_CAND_013	0.900000	PVRIG_CAND_013	cdr1
PVRIG_CAND_011	11	7	NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	0.900000	PVRIG_CAND_008	0.714286	PVRIG_CAND_002	0.736842	PVRIG_CAND_008	0.900000	PVRIG_CAND_008	cdr1
PVRIG_CAND_012	12	10	P1MCPUFP__CPUFP500K_0188__00282	0.800000	PVRIG_CAND_019	1.000000	PVRIG_CAND_017	0.736842	PVRIG_CAND_029	1.000000	PVRIG_CAND_017	cdr2
PVRIG_CAND_013	13	11	NODE1GEN_191476_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__310934EF4B70CA47	0.900000	PVRIG_CAND_007	1.000000	PVRIG_CAND_016	0.684211	PVRIG_CAND_006	1.000000	PVRIG_CAND_016	cdr2
PVRIG_CAND_014	14	12	P1MCPUFP__CPUFP500K_0090__00532	0.800000	PVRIG_CAND_009	0.857143	PVRIG_CAND_009	0.789474	PVRIG_CAND_023	0.857143	PVRIG_CAND_009	cdr2
PVRIG_CAND_015	15	13	NODE1GEN_177961_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8431DA62B813A913	0.800000	PVRIG_CAND_010	0.571429	PVRIG_CAND_003	0.789474	PVRIG_CAND_025	0.800000	PVRIG_CAND_010	cdr1
PVRIG_CAND_016	16	15	NODE1GEN_206644_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__53F648E960398F2F	1.000000	PVRIG_CAND_007	1.000000	PVRIG_CAND_013	0.684211	PVRIG_CAND_013	1.000000	PVRIG_CAND_007	cdr1
PVRIG_CAND_017	17	17	P1MCPUFP__CPUFP500K_0287__00804	0.700000	PVRIG_CAND_029	1.000000	PVRIG_CAND_012	0.684211	PVRIG_CAND_019	1.000000	PVRIG_CAND_012	cdr2
PVRIG_CAND_018	18	18	NODE1GEN_127352_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb203_mpn04_arm_P6_ekg_L_backbone_P6_ekg_L_bb203_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_041	1.000000	PVRIG_CAND_024	0.470588	PVRIG_CAND_001	1.000000	PVRIG_CAND_024	cdr2
PVRIG_CAND_019	19	19	P1MCPUFP__CPUFP500K_0089__00735	0.900000	PVRIG_CAND_033	0.857143	PVRIG_CAND_028	0.789474	PVRIG_CAND_028	0.900000	PVRIG_CAND_033	cdr1
PVRIG_CAND_020	20	20	NODE1GEN_258472_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2E2B33208D567583	0.750000	PVRIG_CAND_042	0.625000	PVRIG_CAND_042	0.388889	PVRIG_CAND_035	0.750000	PVRIG_CAND_042	cdr1
PVRIG_CAND_021	21	21	P1MCPUFP__CPUFP500K_0299__00780	0.800000	PVRIG_CAND_008	0.714286	PVRIG_CAND_007	0.789474	PVRIG_CAND_008	0.800000	PVRIG_CAND_008	cdr1
PVRIG_CAND_022	22	22	P1MCPUFP__CPUFP500K_0189__00858	1.000000	PVRIG_CAND_044	0.857143	PVRIG_CAND_044	0.684211	PVRIG_CAND_023	1.000000	PVRIG_CAND_044	cdr1
PVRIG_CAND_023	23	23	NODE1GEN_174576_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D5384A7F42146722	0.900000	PVRIG_CAND_022	0.714286	PVRIG_CAND_002	0.789474	PVRIG_CAND_014	0.900000	PVRIG_CAND_022	cdr1
PVRIG_CAND_024	24	24	NODE1GEN_002130_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb177_mpn10_arm_P1_ekg_L_backbone_P1_ekg_L_bb177_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_050	1.000000	PVRIG_CAND_018	0.562500	PVRIG_CAND_037	1.000000	PVRIG_CAND_018	cdr2
PVRIG_CAND_025	25	25	P1MCPUFP__CPUFP500K_0380__00771	0.700000	PVRIG_CAND_026	0.857143	PVRIG_CAND_008	0.789474	PVRIG_CAND_015	0.857143	PVRIG_CAND_008	cdr2
PVRIG_CAND_026	26	26	NODE1GEN_217675_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__68DDB4A6D7CBCA89	0.700000	PVRIG_CAND_025	0.714286	PVRIG_CAND_021	0.789474	PVRIG_CAND_015	0.789474	PVRIG_CAND_015	cdr3
PVRIG_CAND_027	27	27	P1MCPUFP__CPUFP500K_0404__00029	0.800000	PVRIG_CAND_004	0.714286	PVRIG_CAND_004	0.631579	PVRIG_CAND_004	0.800000	PVRIG_CAND_004	cdr1
PVRIG_CAND_028	28	28	P1MCPUFP__CPUFP500K_0188__00549	0.700000	PVRIG_CAND_019	0.857143	PVRIG_CAND_019	0.789474	PVRIG_CAND_003	0.857143	PVRIG_CAND_019	cdr2
PVRIG_CAND_029	29	29	P1MCPUFP__CPUFP500K_0188__00481	0.800000	PVRIG_CAND_034	0.857143	PVRIG_CAND_012	0.736842	PVRIG_CAND_003	0.857143	PVRIG_CAND_012	cdr2
PVRIG_CAND_030	30	30	NODE1GEN_182669_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D4BBD3AB583903E7	0.900000	PVRIG_CAND_004	0.857143	PVRIG_CAND_004	0.736842	PVRIG_CAND_004	0.900000	PVRIG_CAND_004	cdr1
PVRIG_CAND_031	31	31	NODE1GEN_128014_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb258_mpn01_arm_P6_ekg_L_backbone_P6_ekg_L_bb258_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_035	0.625000	PVRIG_CAND_014	0.470588	PVRIG_CAND_040	1.000000	PVRIG_CAND_035	cdr1
PVRIG_CAND_032	32	32	NODE1GEN_218195_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A6B62FDDBC1A99BE	0.400000	PVRIG_CAND_003	0.571429	PVRIG_CAND_002	0.526316	PVRIG_CAND_026	0.571429	PVRIG_CAND_002	cdr2
PVRIG_CAND_033	33	33	NODE1GEN_195165_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__499D245F888E5DC4	0.900000	PVRIG_CAND_019	0.714286	PVRIG_CAND_023	0.789474	PVRIG_CAND_044	0.900000	PVRIG_CAND_019	cdr1
PVRIG_CAND_034	34	34	NODE1GEN_235318_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B52C2EC7CC64BFED	0.800000	PVRIG_CAND_002	0.571429	PVRIG_CAND_002	0.736842	PVRIG_CAND_002	0.800000	PVRIG_CAND_002	cdr1
PVRIG_CAND_035	35	37	NODE1GEN_076816_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb155_mpn03_arm_P4_ekg_L_backbone_P4_ekg_L_bb155_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_031	0.875000	PVRIG_CAND_018	0.705882	PVRIG_CAND_037	1.000000	PVRIG_CAND_031	cdr1
