candidate_id	molecule_name	family	validation_role	blocking_ic50_nm	known_kd_m	sequence_length	sequence_sha256	source_fasta
case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	151	official_positive_and_original_best_blocker	0.37	2.00E-10	127	4e01a499c9625e7acec711f477dcdb9008279cf95763572ece323ba45581d220	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/inputs/case02_pos_01_PVRIG-151_HR151_vhh.fasta
case02_pos_02_PVRIG-20	PVRIG-20	20	original_positive_control	1.18	2.36E-10	121	485d6dabf8f09648621cf862a2284c315cf5bed93557562d6af7acd67e7feb7a	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_02_PVRIG-20/inputs/case02_pos_02_PVRIG-20_vhh.fasta
case02_pos_03_PVRIG-30	PVRIG-30	30	original_positive_control	1.11	7.23E-10	121	cc2b6747c7bcb21f59968eee1a87c41523da6f910388b71ea5386a63afc5e625	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_03_PVRIG-30/inputs/case02_pos_03_PVRIG-30_vhh.fasta
case02_pos_04_PVRIG-38	PVRIG-38	38	original_positive_control	0.93	2.17E-09	123	355b7ff74e334acc91a2257c1c00868cd64983b075b31710c345b7621ed16ea8	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_04_PVRIG-38/inputs/case02_pos_04_PVRIG-38_vhh.fasta
case02_pos_05_PVRIG-39	PVRIG-39	39	original_positive_control	0.76	6.96E-10	120	4cada0fb4f5a5204d999384bfd4fa3c022fa61d19b8a0cdc73191752e5ff353e	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_05_PVRIG-39/inputs/case02_pos_05_PVRIG-39_vhh.fasta
case02_pos_06_20H5	20H5	20	humanized_highest_affinity_single_arm		6.98E-11	121	6e1df1d8495f6c5a9e83e0fc5e0ece5e18d88c7ebca5443d6c07d3ee18983476	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_06_20H5/inputs/case02_pos_06_20H5_vhh.fasta
case02_pos_07_30H2	30H2	30	humanized_bispecific_arm_calibration		1.92E-09	121	fc89f25258fd4e5b61aee317a8c380216fb8b2485272ace418c2cb4beb41b1f5	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_07_30H2/inputs/case02_pos_07_30H2_vhh.fasta
case02_pos_08_39H2	39H2	39	humanized_subnanomolar_bispecific_arm_calibration		6.92E-10	120	9ba14ec210b0a0bec62cfca39f47e057285e618439b87344673c1ec17f7d15c0	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_08_39H2/inputs/case02_pos_08_39H2_vhh.fasta
case02_pos_09_39H4	39H4	39	humanized_subnanomolar_affinity_control		4.82E-10	120	fe87d209d4c3709e0972836a0a5b020486875be7912242791f37f464fc37cb9f	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_09_39H4/inputs/case02_pos_09_39H4_vhh.fasta
case02_pos_10_151H7	151H7	151	humanized_151_bispecific_arm_calibration		1.20E-09	127	8aa9ab02974e3de379b81d34fd08d2b25ad39cc416fedd8ff9462676b58ae484	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_10_151H7/inputs/case02_pos_10_151H7_vhh.fasta
case02_pos_11_151H8	151H8	151	humanized_151_bispecific_arm_sequence_control			127	b024d07a854935880d6f9bc1d807cf7289ec053ab362a4d10f9279fe1a40871b	/mnt/d/work/抗体/docking/calibration/patent_success_validation/case02_pos_11_151H8/inputs/case02_pos_11_151H8_vhh.fasta
