job_id	priority	entity_type	entity_id	control_class	expected_behavior	conformation	seed	sequence_sha256	cdr1_range	cdr2_range	cdr3_range	cdr_residues	monomer_source	monomer_source_kind	monomer_source_chain	receptor_pdb	receptor_chain	ligand_chain	vhh_chain	numbering	cfg_hash	restraint_hash	protocol_core_sha256	protocol_hash	job_hash	job_hash_basis
CANDIDATE_V29_GEN__C0001__0604783E89058161_9e6y_s917_0e6e00b5a98c	7616	candidate	V29_GEN__C0001__0604783E89058161		CANDIDATE_UNKNOWN	9e6y	917	f37196664610968da239c9ba39800447bc85dff5237c2eeaea59304db461242b	26-33	51-57	96-107	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107	inputs/candidate_monomers/V29_GEN__C0001__0604783E89058161.pdb	frozen_local_candidate	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7	7c063d2f150e639b9c8abd15bdbb5cf5839f1d9f606a1570c842dea0beb2b8d8	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	0e6e00b5a98c16606490a1bb85188a585f2e8458280a93c952b6e89b47b8f0a5	"{""cfg_hash"":""8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7"",""conformation"":""9e6y"",""entity_id"":""V29_GEN__C0001__0604783E89058161"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""7c063d2f150e639b9c8abd15bdbb5cf5839f1d9f606a1570c842dea0beb2b8d8"",""seed"":917}"
CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_9e6y_s917_1b04d75e7589	7582	candidate	V29_GEN__C0001__2C1317F5D5743358		CANDIDATE_UNKNOWN	9e6y	917	d77f9cacf2cbddeddff1c7e68120739f6e8488334016bf48f4fac6990dfa7313	26-33	51-57	96-107	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107	inputs/candidate_monomers/V29_GEN__C0001__2C1317F5D5743358.pdb	frozen_local_candidate	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7	7c063d2f150e639b9c8abd15bdbb5cf5839f1d9f606a1570c842dea0beb2b8d8	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	1b04d75e758928db0427bb1691a52509bba36dac8464ff83bdf7c2785e7a0ce7	"{""cfg_hash"":""8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7"",""conformation"":""9e6y"",""entity_id"":""V29_GEN__C0001__2C1317F5D5743358"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""7c063d2f150e639b9c8abd15bdbb5cf5839f1d9f606a1570c842dea0beb2b8d8"",""seed"":917}"
CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_9e6y_s917_0d1d5ebba507	7652	candidate	V29_GEN__C0001__8F523EB00420ADD0		CANDIDATE_UNKNOWN	9e6y	917	1ff545f2115f764914886bc8df0bc38b7fb85d2db9a4a8e1fbb16ed39bb3a24b	26-33	51-57	96-110	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110	inputs/candidate_monomers/V29_GEN__C0001__8F523EB00420ADD0.pdb	frozen_local_candidate	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7	b12f24750e8519ebe73e070d4b233d8c37531ca16f613dc8412cc21078fba28d	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	0d1d5ebba507907808d84e061f1110eede53271e20fd36c10f876dbec2ae9301	"{""cfg_hash"":""8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7"",""conformation"":""9e6y"",""entity_id"":""V29_GEN__C0001__8F523EB00420ADD0"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""b12f24750e8519ebe73e070d4b233d8c37531ca16f613dc8412cc21078fba28d"",""seed"":917}"
CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_8x6b_s917_0dbad696c3ba	7685	candidate	V29_GEN__C0007__0F43BFB5BB3D8355		CANDIDATE_UNKNOWN	8x6b	917	700addf5e5ec591ee8672ad90b94047dad65a2f480acdf407f01a1453b7610f2	26-33	51-57	96-110	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110	inputs/candidate_monomers/V29_GEN__C0007__0F43BFB5BB3D8355.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	b12f24750e8519ebe73e070d4b233d8c37531ca16f613dc8412cc21078fba28d	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	0dbad696c3ba03679e1ffb09a3f115ff0547a43018d92573c436a8b8e9b9126f	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0007__0F43BFB5BB3D8355"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""b12f24750e8519ebe73e070d4b233d8c37531ca16f613dc8412cc21078fba28d"",""seed"":917}"
CANDIDATE_V29_GEN__C0007__7E84DB22CB439102_8x6b_s917_15f2e26e02c2	7699	candidate	V29_GEN__C0007__7E84DB22CB439102		CANDIDATE_UNKNOWN	8x6b	917	1102d030f4d2ef3a05f04c20f022264a647c677a0a6dde7078cec9bf407343d5	26-33	51-57	96-112	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112	inputs/candidate_monomers/V29_GEN__C0007__7E84DB22CB439102.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	bcfbbfd56dc9e5a16bc2db86917d623573c0b05f78aa6937e427c4821a952a58	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	15f2e26e02c2f9c17d4a727033f96a7d502743b1554ac50bec9263cfa53e2f9e	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0007__7E84DB22CB439102"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""bcfbbfd56dc9e5a16bc2db86917d623573c0b05f78aa6937e427c4821a952a58"",""seed"":917}"
CANDIDATE_V29_GEN__C0007__951E50E70DEF13DC_8x6b_s917_174f9259e872	7693	candidate	V29_GEN__C0007__951E50E70DEF13DC		CANDIDATE_UNKNOWN	8x6b	917	dec410f089a8b980df6b07b7e38fb74a48c9f166e67169bc9ede0a6898f01dee	26-33	51-57	96-111	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111	inputs/candidate_monomers/V29_GEN__C0007__951E50E70DEF13DC.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	1b9db05fe385e2c6e5b4981de905a2f46e106bb91d2c5a6a4140a1e4ad3d2317	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	174f9259e872c2b2805130664e831cc2fe445ccf2c216e5df970767869431aa9	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0007__951E50E70DEF13DC"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""1b9db05fe385e2c6e5b4981de905a2f46e106bb91d2c5a6a4140a1e4ad3d2317"",""seed"":917}"
CANDIDATE_V29_GEN__C0007__E098EB4C0DF229F2_8x6b_s917_16ebc4254500	7675	candidate	V29_GEN__C0007__E098EB4C0DF229F2		CANDIDATE_UNKNOWN	8x6b	917	354478122802eea95d65d19b116d0048bacfc9950944b94f92b786acae43e58e	26-33	51-57	96-111	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111	inputs/candidate_monomers/V29_GEN__C0007__E098EB4C0DF229F2.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	1b9db05fe385e2c6e5b4981de905a2f46e106bb91d2c5a6a4140a1e4ad3d2317	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	16ebc425450059178dd8d492a82d0432d90347079e80736f0f518fe718a1a7ff	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0007__E098EB4C0DF229F2"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""1b9db05fe385e2c6e5b4981de905a2f46e106bb91d2c5a6a4140a1e4ad3d2317"",""seed"":917}"
CANDIDATE_V29_GEN__C0009__9B41AFD570C783B9_9e6y_s917_1f0d31da9d46	7762	candidate	V29_GEN__C0009__9B41AFD570C783B9		CANDIDATE_UNKNOWN	9e6y	917	a96050adad0031bf22554a68e2200c7fc21731bc6cd4c95b06af1c16dafd3a28	26-33	51-58	97-110	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,97,98,99,100,101,102,103,104,105,106,107,108,109,110	inputs/candidate_monomers/V29_GEN__C0009__9B41AFD570C783B9.pdb	frozen_local_candidate	A	inputs/normalized/9e6y_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7	3415485352d67643a9826f277647cea2ed2da81c5c1ecd31d021e39a8b14f546	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	1f0d31da9d46f34189e9bc09e50e3d91ab5633acb346631bc443462cb081a412	"{""cfg_hash"":""8e2af4c623303b60990699b4ed286f0aa7d72e32cfff88d8e1095a178edddcd7"",""conformation"":""9e6y"",""entity_id"":""V29_GEN__C0009__9B41AFD570C783B9"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""3415485352d67643a9826f277647cea2ed2da81c5c1ecd31d021e39a8b14f546"",""seed"":917}"
CANDIDATE_V29_GEN__C0030__0E8EB2F54823F8BB_8x6b_s917_0e09397a3893	7903	candidate	V29_GEN__C0030__0E8EB2F54823F8BB		CANDIDATE_UNKNOWN	8x6b	917	813e05f9053b0491545ace28e87dd2e54959db0c990ebeecb52deb1b34a15da5	26-33	51-57	96-112	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112	inputs/candidate_monomers/V29_GEN__C0030__0E8EB2F54823F8BB.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	bcfbbfd56dc9e5a16bc2db86917d623573c0b05f78aa6937e427c4821a952a58	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	0e09397a3893974e73f53da23795f3fd73eafc67c3681b51566acebca584425a	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0030__0E8EB2F54823F8BB"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""bcfbbfd56dc9e5a16bc2db86917d623573c0b05f78aa6937e427c4821a952a58"",""seed"":917}"
CANDIDATE_V29_GEN__C0030__34E77D85FC511DB4_8x6b_s917_182eed089af9	7889	candidate	V29_GEN__C0030__34E77D85FC511DB4		CANDIDATE_UNKNOWN	8x6b	917	d43e3bd6bd349b9b5c6923f79cc581be50cb3005f505a17e4ddef70a3c9b6050	26-33	51-57	96-114	26,27,28,29,30,31,32,33,51,52,53,54,55,56,57,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114	inputs/candidate_monomers/V29_GEN__C0030__34E77D85FC511DB4.pdb	frozen_local_candidate	A	inputs/normalized/8x6b_pvrig_receptor.pdb	T	L	A	UniProt_Q6DKI7	6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f	d473aedaabee308faa59f350d34883dfb9b1b075324135a91f03a0492df70c5c	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666	182eed089af9d8bd88b8b4c2b01f6b6f546d211cf1fd2d511ff0a140066eaaac	"{""cfg_hash"":""6e98eff920142c44a7689c757ab74892d8431381f80c5e4ee8efa0a3b4d0a11f"",""conformation"":""8x6b"",""entity_id"":""V29_GEN__C0030__34E77D85FC511DB4"",""entity_type"":""candidate"",""protocol_core_sha256"":""49fffc2c7087b1ff3a8e42463319168fad409687f502b619f3661c978fc6d666"",""restraint_hash"":""d473aedaabee308faa59f350d34883dfb9b1b075324135a91f03a0492df70c5c"",""seed"":917}"
