candidate_id	sequence_sha256	parent_framework_cluster	fast_hard_fail	reason_summary	official_validator_failed_reason	census_role
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B00__M00	03035511bde720f88f89a611dcd2ebf3c361e00c2481bc5914f504ff7567e615	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B00__M01	f025b312244d8666564349eba20c9989d9da17ad5ece45ba491967a5164b2df4	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B00__M02	aa743f11b0e3eb51df72ffee1d5892214402b6bd9aef2bfcbe187703bae098d0	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B01__M00	6a1ea6a4f855da325b2eb46455ac1d64c5d070fc65a2e1bf1143671a37b78ccb	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B01__M01	d5e46bf51365bd808e06388acb8e445441c5efca0fc75d0c75a15306d6973799	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B01__M02	f00e1c34f81a12fd996c947b78d03d6f832b2902e96d0e7ca26d5267e3b244de	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B02__M00	236e2b87b0f05a6ab71f07b9910c189f996f4d054bded9522bde34a2cf65a005	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B02__M01	c794f42d8b19d371a990895e4590367ee6c7494ac46acc3e1e822892cc52fd91	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B02__M02	c8e3d6f0ce4ad1cf6e11665c01ce01eb6852a012160fb870e27175108bee9e56	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B03__M00	380818b8547136ce4c04c099823213baa07d66ed307f565b756e300cc265e133	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B03__M01	0ec6f1f48094422d7ead4283b4d3d38b34e0926656fd1e77e1e3f713836a85a4	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B03__M02	ed6c08d24c7f8daceb335bf3609657c3cf2e5112f9781954a6a2c383776112dc	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B04__M00	c3755c5cedc5ea627773dfd065e27d002f752b97f9b85eac629afddf24a27d30	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B04__M01	37357d778664270c16d210e937069a2946c6c0e0a983cfd8e37a2ee9e3fa8dc6	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B04__M02	54fa84e8608393a226a1cab7056854be951c3bb7ec177b1c37434ce76a6cbf73	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B05__M00	b16ca3ebeb768625f32748a2d30842313fe9183fbbb8098c0d2b4ba3b5016e89	C0009	False	developability_warn		GLOBAL_POOL_OTHER
